Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,EXP
1,Indianapolis Colts,16,381,569,67.0,4179,29,5.1,10,1.8,79,7.5,7.8,11.3,261.2,99.0,19,110,3.2,7.1,7.3,3,4,99.28
2,Kansas City Chiefs,16,339,536,63.2,3981,24,4.5,12,2.2,67,7.7,7.6,12.1,248.8,92.4,21,132,3.8,7.1,7.0,1,2,55.42
3,St. Louis Rams,16,377,600,62.8,3961,23,3.8,23,3.8,48,7.1,6.2,11.4,247.6,81.0,43,326,6.7,6.2,5.3,4,4,-30.91
4,Minnesota Vikings,16,333,520,64.0,3951,32,6.2,13,2.5,72,8.0,8.1,12.5,246.9,99.0,42,218,7.5,7.0,7.1,0,1,34.22
5,Tennessee Titans,16,315,502,62.7,3878,30,6.0,9,1.8,73,8.0,8.4,12.8,242.4,100.3,25,153,4.7,7.4,7.7,2,2,55.85
6,Tampa Bay Buccaneers,16,369,592,62.3,3805,27,4.6,22,3.7,76,6.7,5.9,10.7,237.8,81.5,23,136,3.7,6.2,5.5,,,-86.72
7,Seattle Seahawks,16,317,521,60.8,3618,27,5.2,16,3.1,80,7.4,7.1,12.2,226.1,88.2,43,254,7.6,6.4,6.1,2,3,46.21
8,New Orleans Saints,16,314,535,58.7,3438,25,4.7,8,1.5,76,6.8,7.1,11.6,214.9,88.7,36,203,6.3,6.0,6.3,2,3,-28.75
9,New England Patriots,16,320,537,59.6,3432,23,4.3,13,2.4,82,6.8,6.6,11.4,214.5,84.3,32,219,5.6,6.0,5.8,3,5,18.84
10,San Francisco 49ers,16,299,511,58.5,3408,25,4.9,15,2.9,75,7.0,6.6,11.9,213.0,84.0,28,158,5.2,6.3,6.0,1,1,14.44
11,New York Giants,16,344,616,55.8,3383,16,2.6,20,3.2,77,5.9,5.0,10.6,211.4,68.4,44,259,6.7,5.1,4.2,1,3,-113.57
12,Cincinnati Bengals,16,324,520,62.3,3342,26,5.0,15,2.9,82,6.9,6.6,11.1,208.9,87.4,37,249,6.6,6.0,5.7,3,3,7.92
13,New York Jets,16,312,496,62.9,3316,20,4.0,14,2.8,65,7.1,6.6,11.3,207.3,85.8,31,208,5.9,6.3,5.9,3,3,-23.93
14,Pittsburgh Steelers,16,306,532,57.5,3304,19,3.6,17,3.2,81,6.7,5.9,11.6,206.5,76.4,42,244,7.3,5.8,5.1,,,-49.08
15,Jacksonville Jaguars,16,303,515,58.8,3285,17,3.3,17,3.3,84,6.6,5.8,11.3,205.3,76.0,28,136,5.2,6.0,5.3,1,2,-79.73
16,Green Bay Packers,16,310,473,65.5,3240,32,6.8,21,4.4,66,7.1,6.5,10.9,202.5,90.5,19,137,3.9,6.6,6.0,1,3,9.93
17,Dallas Cowboys,16,294,510,57.6,3162,17,3.3,21,4.1,64,6.6,5.4,11.4,197.6,71.4,37,185,6.8,5.8,4.7,2,2,-110.50
18,Carolina Panthers,16,270,460,58.7,3050,19,4.1,16,3.5,67,7.0,6.3,12.0,190.6,79.6,26,188,5.3,6.3,5.6,5,7,-13.40
19,San Diego Chargers,16,297,525,56.6,3021,21,4.0,19,3.6,73,6.1,5.3,10.9,188.8,73.1,29,205,5.2,5.5,4.7,0,1,-87.84
20,Philadelphia Eagles,16,279,484,57.6,3020,17,3.5,11,2.3,59,6.8,6.4,11.7,188.8,80.5,43,253,8.2,5.7,5.4,2,4,-35.72
21,Washington Redskins,16,283,527,53.7,3006,21,4.0,16,3.0,64,6.2,5.6,11.6,187.9,73.3,43,267,7.5,5.3,4.7,0,2,-101.91
22,Denver Broncos,16,280,479,58.5,2969,19,4.0,18,3.8,72,6.5,5.6,11.2,185.6,75.6,25,157,5.0,5.9,5.0,1,2,-53.79
23,Arizona Cardinals,16,303,534,56.7,2959,18,3.4,22,4.1,71,6.1,4.9,10.8,184.9,68.9,44,306,7.6,5.1,4.0,1,3,-146.39
24,Detroit Lions,16,319,588,54.3,2924,17,2.9,24,4.1,72,5.1,3.8,9.4,182.8,61.1,11,64,1.8,4.9,3.6,2,2,-114.92
25,Cleveland Browns,16,313,509,61.5,2834,17,3.3,18,3.5,71,6.1,5.2,10.0,177.1,75.2,40,282,7.3,5.2,4.3,2,2,-94.44
26,Miami Dolphins,16,257,450,57.1,2792,17,3.8,19,4.2,80,6.7,5.5,11.7,174.5,72.5,31,209,6.4,5.8,4.7,2,4,-81.47
27,Oakland Raiders,16,278,521,53.4,2751,9,1.7,14,2.7,47,5.7,4.9,10.7,171.9,65.0,43,237,7.6,4.9,4.1,1,2,-109.29
28,Buffalo Bills,16,293,502,58.4,2684,11,2.2,17,3.4,54,6.1,5.0,10.5,167.8,69.4,51,385,9.2,4.9,3.9,1,1,-122.09
29,Houston Texans,16,248,439,56.5,2655,14,3.2,18,4.1,78,6.5,5.3,11.5,165.9,69.7,36,186,7.6,5.6,4.5,3,3,-96.01
30,Chicago Bears,16,271,515,52.6,2617,12,2.3,20,3.9,61,5.6,4.4,10.7,163.6,61.0,43,288,7.7,4.7,3.5,2,3,-154.10
31,Atlanta Falcons,16,230,460,50.0,2408,14,3.0,21,4.6,86,5.7,4.3,11.4,150.5,58.7,35,223,7.1,4.9,3.5,1,0,-170.71
32,Baltimore Ravens,16,217,415,52.3,2255,16,3.9,19,4.6,73,6.1,4.8,11.6,140.9,64.7,42,262,9.2,4.9,3.8,2,2,-105.48
