Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,Dallas Cowboys,14,217,399,54.4,3026,25,6.3,18,4.5,65,8.3,7.5,15.2,216.1,83.9,34,269,7.9,7.0,6.3,1,1
2,San Francisco 49ers,14,239,417,57.3,2925,24,5.8,23,5.5,65,7.5,6.1,13.0,208.9,77.1,27,182,6.1,6.6,5.3,1,2
3,Baltimore Colts,14,196,359,54.6,2872,28,7.8,22,6.1,84,8.6,7.4,15.8,205.1,84.0,29,222,7.5,7.4,6.3,0,1
4,Cleveland Browns,14,184,363,50.7,2858,27,7.4,16,4.4,87,8.4,7.9,16.5,204.1,85.6,21,181,5.5,7.4,7.0,0,2
5,Washington Redskins,14,227,408,55.6,2484,23,5.6,18,4.4,99,6.9,6.1,12.4,177.4,77.7,37,340,8.3,5.6,4.8,1,1
6,Pittsburgh Steelers,14,211,451,46.8,2479,22,4.9,26,5.8,62,6.1,4.5,13.1,177.1,58.8,41,285,8.3,5.0,3.6,1,1
7,New York Giants,14,195,366,53.3,2442,21,5.7,17,4.6,84,7.4,6.5,13.9,174.4,77.2,30,273,7.6,6.2,5.3,1,2
8,New Orleans Saints,14,210,439,47.8,2336,17,3.9,29,6.6,51,5.8,3.6,12.1,166.9,51.5,33,213,7.0,4.9,2.9,1,1
9,Detroit Lions,14,204,377,54.1,2320,17,4.5,15,4.0,86,7.0,6.1,13.0,165.7,74.9,45,329,10.7,5.5,4.7,1,1
10,Green Bay Packers,14,188,318,59.1,2275,21,6.6,15,4.7,72,8.3,7.5,14.1,162.5,88.4,41,376,11.4,6.3,5.6,1,0
11,St. Louis Cardinals,14,169,385,43.9,2187,16,4.2,20,5.2,80,6.2,4.7,14.1,156.2,56.7,23,202,5.6,5.4,3.9,4,4
12,Los Angeles Rams,14,189,384,49.2,2172,20,5.2,17,4.4,60,6.3,5.3,12.8,155.1,68.2,28,241,6.8,5.3,4.4,2,3
13,Philadelphia Eagles,14,194,380,51.1,2150,16,4.2,29,7.6,92,6.2,3.6,12.1,153.6,52.7,26,207,6.4,5.3,2.9,1,1
14,Atlanta Falcons,14,158,326,48.5,1859,9,2.8,24,7.4,71,7.3,4.6,15.1,132.8,51.5,70,527,17.7,4.7,2.4,1,1
15,Minnesota Vikings,14,154,282,54.6,1685,11,3.9,17,6.0,61,7.1,5.1,13.0,120.4,65.0,35,310,11.0,5.3,3.6,0,1
16,Chicago Bears,14,158,343,46.1,1681,10,2.9,21,6.1,80,5.4,3.3,11.8,120.1,47.4,24,187,6.5,4.6,2.6,1,3
