Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,San Diego Chargers,16,350,594,58.9,4531,30,5.1,26,4.4,65,8.0,7.0,13.5,283.2,83.0,32,210,5.1,7.2,6.3,1,2
2,Cleveland Browns,16,337,554,60.8,3915,30,5.4,14,2.5,65,7.5,7.4,12.3,244.7,91.4,23,217,4.0,6.8,6.7,3,4
3,Minnesota Vikings,16,331,574,57.7,3688,22,3.8,23,4.0,76,6.9,5.8,11.9,230.5,74.8,41,246,6.7,6.0,5.0,4,4
4,New Orleans Saints,16,334,566,59.0,3648,26,4.6,22,3.9,56,7.1,6.3,12.0,228.0,79.9,46,362,7.5,6.0,5.2,1,1
5,San Francisco 49ers,16,363,597,60.8,3577,27,4.5,26,4.4,93,6.4,5.3,10.5,223.6,76.2,30,222,4.8,5.7,4.7,2,3
6,Pittsburgh Steelers,16,250,484,51.7,3568,26,5.4,24,5.0,72,7.9,6.8,15.3,223.0,75.4,37,264,7.1,6.8,5.8,3,4
7,Philadelphia Eagles,16,275,477,57.7,3524,28,5.9,12,2.5,56,7.9,7.9,13.7,220.3,92.2,32,247,6.3,6.9,7.0,2,4
8,Green Bay Packers,16,289,511,56.6,3291,15,2.9,29,5.7,69,7.1,5.2,12.6,205.7,65.1,43,360,7.8,5.9,4.1,0,3
9,Atlanta Falcons,16,259,467,55.5,3244,31,6.6,17,3.6,81,7.6,7.3,13.8,202.8,87.1,35,324,7.0,6.5,6.2,3,4
10,Tampa Bay Buccaneers,16,256,530,48.3,3220,20,3.8,17,3.2,61,6.4,5.8,13.3,201.3,68.4,24,194,4.3,5.8,5.2,5,4
11,Los Angeles Rams,16,261,451,57.9,3207,31,6.9,23,5.1,74,7.6,6.7,13.2,200.4,83.8,29,234,6.0,6.7,5.8,0,0
12,New England Patriots,16,240,413,58.1,3195,27,6.5,27,6.5,71,8.2,6.6,14.1,199.7,79.3,25,200,5.7,7.3,5.8,2,2
13,Baltimore Colts,16,272,493,55.2,3128,25,5.1,24,4.9,47,6.9,5.7,12.5,195.5,73.5,36,281,6.8,5.9,4.8,0,2
14,Dallas Cowboys,16,265,449,59.0,3104,30,6.7,25,5.6,58,7.5,6.3,12.7,194.0,81.5,31,252,6.5,6.5,5.4,1,1
15,Seattle Seahawks,16,287,517,55.5,3096,18,3.5,23,4.4,67,6.8,5.5,12.2,193.5,69.6,51,398,9.0,5.5,4.3,1,1
16,New York Jets,16,265,481,55.1,3009,17,3.5,30,6.2,55,6.9,4.8,12.6,188.1,62.7,42,326,8.0,5.8,3.8,0,2
17,Houston Oilers,16,296,463,63.9,3007,15,3.2,28,6.0,79,7.1,5.0,11.1,187.9,70.4,27,264,5.5,6.1,4.2,2,2
18,Detroit Lions,16,248,423,58.6,2941,13,3.1,12,2.8,87,7.8,7.1,13.3,183.8,81.7,45,346,9.6,6.3,5.7,1,2
19,Oakland Raiders,16,235,456,51.5,2899,23,5.0,24,5.3,86,7.2,5.9,14.0,181.2,70.0,47,395,9.3,5.8,4.5,1,2
20,Washington Redskins,16,284,486,58.4,2838,17,3.5,18,3.7,54,6.5,5.6,11.2,177.4,74.2,36,333,6.9,5.4,4.5,2,2
21,Cincinnati Bengals,16,281,510,55.1,2815,17,3.3,25,4.9,67,6.1,4.5,11.0,175.9,64.0,37,287,6.8,5.1,3.7,2,3
22,Denver Broncos,16,262,467,56.1,2777,14,3.0,25,5.4,52,6.7,4.8,11.9,173.6,64.2,44,330,8.6,5.4,3.8,1,3
23,Buffalo Bills,16,262,461,56.8,2750,20,4.3,19,4.1,69,6.4,5.4,11.2,171.9,73.3,20,186,4.2,5.7,4.8,2,4
24,Miami Dolphins,16,267,492,54.3,2688,21,4.3,26,5.3,61,6.0,4.5,11.1,168.0,64.5,31,265,5.9,5.1,3.7,4,5
25,St. Louis Cardinals,16,239,470,50.9,2676,16,3.4,24,5.1,69,6.5,4.9,12.8,167.3,61.7,50,387,9.6,5.1,3.7,0,0
26,New York Giants,16,245,514,47.7,2609,19,3.7,25,4.9,58,5.7,4.3,12.0,163.1,57.6,47,322,8.4,4.7,3.3,2,2
27,Kansas City Chiefs,16,237,401,59.1,2448,15,3.7,14,3.5,77,7.2,6.3,12.1,153.0,79.1,57,421,12.4,5.3,4.6,3,5
28,Chicago Bears,16,209,404,51.7,2395,13,3.2,25,6.2,89,6.6,4.5,12.8,149.7,57.7,33,274,7.6,5.5,3.5,1,0
