Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,EXP
1,St. Louis Rams,16,379,551,68.8,4663,37,6.7,22,4.0,65,8.9,8.4,12.9,291.4,102.2,40,240,6.8,7.9,7.5,1,2,75.49
2,Indianapolis Colts,16,349,557,62.7,3989,27,4.8,23,4.1,86,7.6,6.7,12.1,249.3,84.9,30,238,5.1,6.8,6.0,,,-8.08
3,Green Bay Packers,16,314,510,61.6,3770,32,6.3,15,2.9,67,7.7,7.6,12.5,235.6,94.1,22,151,4.1,7.1,7.0,1,2,19.08
4,Oakland Raiders,16,364,553,65.8,3707,27,4.9,9,1.6,49,7.0,7.2,10.6,231.7,95.5,27,155,4.7,6.4,6.6,1,2,59.24
5,Kansas City Chiefs,16,300,528,56.8,3665,17,3.2,24,4.5,67,7.3,5.9,12.9,229.1,71.7,39,198,6.9,6.5,5.2,2,3,-74.42
6,Detroit Lions,16,343,609,56.3,3596,18,3.0,24,3.9,76,6.5,5.3,11.6,224.8,69.6,66,373,9.8,5.3,4.3,2,2,-91.89
7,Minnesota Vikings,16,335,555,60.4,3576,23,4.1,23,4.1,80,6.9,5.9,11.5,223.5,77.9,47,278,7.8,5.9,5.0,2,2,-120.42
8,Tennessee Titans,16,307,515,59.6,3558,23,4.5,17,3.3,71,7.5,6.9,12.6,222.4,84.2,43,309,7.7,6.4,5.8,1,4,-19.82
9,New York Giants,16,327,568,57.6,3558,19,3.3,16,2.8,76,6.6,6.0,11.5,222.4,77.1,36,206,6.0,5.9,5.3,3,4,-50.93
10,New Orleans Saints,16,313,562,55.7,3514,27,4.8,22,3.9,63,6.8,6.0,12.3,219.6,76.7,50,330,8.2,5.7,5.0,2,3,-47.38
11,San Diego Chargers,16,309,548,56.4,3505,16,2.9,18,3.3,78,6.7,5.8,11.9,219.1,73.1,27,180,4.7,6.1,5.2,1,1,-35.44
12,Buffalo Bills,16,327,557,58.7,3451,18,3.2,20,3.6,80,6.7,5.7,11.4,215.7,74.7,46,271,7.6,5.7,4.8,1,2,-107.04
13,Arizona Cardinals,16,304,526,57.8,3449,18,3.4,14,2.7,68,6.9,6.4,12.0,215.6,79.5,29,204,5.2,6.2,5.7,3,4,-26.55
14,San Francisco 49ers,16,318,506,62.8,3445,32,6.3,12,2.4,61,7.0,7.2,11.2,215.3,95.0,26,114,4.9,6.5,6.7,4,4,43.78
15,Tampa Bay Buccaneers,16,362,592,61.1,3323,13,2.2,12,2.0,47,6.1,5.6,10.0,207.7,77.4,47,298,7.4,5.2,4.8,3,5,-53.07
16,Baltimore Ravens,16,320,557,57.5,3314,18,3.2,20,3.6,77,6.5,5.5,11.2,207.1,72.7,40,281,6.7,5.6,4.6,3,6,-104.46
17,Atlanta Falcons,16,278,485,57.3,3308,19,3.9,17,3.5,94,7.6,6.8,13.3,206.8,80.0,64,387,11.7,6.0,5.3,1,3,-74.57
18,Jacksonville Jaguars,16,321,534,60.1,3240,20,3.7,14,2.6,45,6.9,6.4,11.4,202.5,82.4,63,430,10.6,5.4,5.0,1,1,-53.73
19,Miami Dolphins,16,275,453,60.7,3157,20,4.4,19,4.2,74,7.4,6.4,12.1,197.3,80.6,27,178,5.6,6.6,5.6,4,4,-47.94
20,Philadelphia Eagles,16,300,522,57.5,3145,27,5.2,14,2.7,64,6.6,6.4,11.4,196.6,83.4,40,282,7.1,5.6,5.4,3,3,-57.93
21,Pittsburgh Steelers,16,274,454,60.4,3113,16,3.5,12,2.6,90,7.3,6.8,12.0,194.6,83.4,31,182,6.4,6.4,6.0,1,1,20.54
22,New England Patriots,16,306,482,63.5,3089,21,4.4,15,3.1,91,6.9,6.4,10.9,193.1,85.3,46,237,8.7,5.9,5.4,3,3,-38.23
23,Cincinnati Bengals,16,322,602,53.5,3088,12,2.0,26,4.3,49,5.5,3.9,10.2,193.0,58.1,28,203,4.4,4.9,3.4,3,3,-161.09
24,Chicago Bears,16,315,528,59.7,2952,20,3.8,16,3.0,66,5.8,5.2,9.8,184.5,76.0,17,120,3.1,5.4,4.8,5,3,-134.44
25,Denver Broncos,16,312,511,61.1,2940,26,5.1,19,3.7,65,6.3,5.6,10.3,183.8,80.6,42,268,7.6,5.3,4.7,1,1,-101.42
26,Carolina Panthers,16,314,579,54.2,2882,12,2.1,22,3.8,48,5.4,4.1,9.9,180.1,60.6,32,216,5.2,4.7,3.5,,,-183.22
27,Seattle Seahawks,16,258,462,55.8,2836,15,3.2,12,2.6,64,6.8,6.3,12.3,177.3,77.2,49,328,9.6,5.5,5.1,0,2,-43.73
28,Cleveland Browns,16,279,466,59.9,2801,18,3.9,21,4.5,78,6.8,5.5,11.3,175.1,74.3,51,353,9.9,5.4,4.3,3,3,-85.54
29,New York Jets,16,272,464,58.6,2741,17,3.7,14,3.0,40,6.2,5.6,10.6,171.3,76.4,19,130,3.9,5.7,5.1,5,5,-25.08
30,Washington Redskins,16,235,432,54.4,2487,13,3.0,13,3.0,85,6.3,5.5,11.6,155.4,71.1,38,229,8.1,5.3,4.6,3,3,-113.56
31,Dallas Cowboys,16,210,413,50.8,2218,14,3.4,20,4.8,80,5.8,4.3,11.5,138.6,59.9,34,190,7.6,5.0,3.6,1,3,-102.21
