Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,Washington Redskins,14,254,413,61.5,2802,22,5.3,11,2.7,69,7.2,7.1,11.7,200.1,90.0,25,176,5.7,6.4,6.3,2,2
2,Minnesota Vikings,14,234,400,58.5,2755,22,5.5,13,3.3,80,7.3,6.9,12.4,196.8,85.9,19,154,4.5,6.6,6.2,1,1
3,Dallas Cowboys,14,206,385,53.5,2529,14,3.6,15,3.9,58,7.4,6.4,13.9,180.6,73.5,47,327,10.9,5.9,4.9,3,4
4,Cincinnati Bengals,14,224,353,63.5,2511,18,5.1,13,3.7,77,7.9,7.3,12.5,179.4,89.7,37,293,9.5,6.4,5.9,,
5,New York Jets,14,194,369,52.6,2436,20,5.4,24,6.5,89,7.1,5.3,13.6,174.0,66.6,19,195,4.9,6.3,4.5,3,3
6,Oakland Raiders,14,186,335,55.5,2384,28,8.4,18,5.4,67,7.6,6.9,13.8,170.3,85.7,24,177,6.7,6.6,5.9,3,3
7,St. Louis Cardinals,14,201,391,51.4,2358,20,5.1,8,2.0,81,6.4,6.5,12.4,168.4,80.0,16,134,3.9,5.8,5.9,1,2
8,New England Patriots,14,177,359,49.3,2340,19,5.3,23,6.4,69,7.0,5.2,14.2,167.1,63.3,21,174,5.5,6.2,4.4,1,1
9,Denver Broncos,14,184,329,55.9,2328,18,5.5,17,5.2,73,8.1,6.9,14.5,166.3,79.1,46,332,12.3,6.2,5.1,2,1
10,San Diego Chargers,14,165,349,47.3,2304,12,3.4,22,6.3,75,7.1,5.0,15.0,164.6,56.3,23,175,6.2,6.2,4.2,3,4
11,Detroit Lions,14,216,377,57.3,2220,11,2.9,11,2.9,56,6.6,5.8,11.5,158.6,74.8,35,255,8.5,5.4,4.7,4,4
12,Philadelphia Eagles,14,258,461,56.0,2212,14,3.0,17,3.7,64,5.5,4.4,9.8,158.0,66.4,42,319,8.3,4.4,3.4,0,1
13,Los Angeles Rams,14,169,338,50.0,2207,16,4.7,13,3.8,50,7.0,6.2,14.0,157.6,72.7,21,161,5.8,6.1,5.4,2,2
14,New York Giants,14,207,393,52.7,2193,12,3.1,26,6.6,72,6.0,3.6,11.3,156.6,53.5,20,156,4.8,5.3,3.1,,
15,Kansas City Chiefs,14,211,395,53.4,2108,11,2.8,25,6.3,84,6.1,3.8,11.5,150.6,55.0,37,313,8.6,4.9,2.8,1,2
16,Miami Dolphins,14,171,283,60.4,2084,18,6.4,18,6.4,54,8.2,6.6,13.5,148.9,81.2,31,229,9.9,6.6,5.2,3,4
17,Green Bay Packers,14,187,385,48.6,2036,5,1.3,21,5.5,68,5.6,3.4,11.6,145.4,47.6,17,126,4.2,5.1,3.0,1,1
18,Baltimore Colts,14,221,425,52.0,2025,9,2.1,24,5.6,57,5.7,3.6,11.0,144.6,52.7,49,399,10.3,4.3,2.4,,
19,San Francisco 49ers,14,170,361,47.1,2007,15,4.2,28,7.8,68,6.3,3.7,13.4,143.4,49.2,35,274,8.8,5.1,2.6,2,2
20,Houston Oilers,14,203,363,55.9,1977,12,3.3,19,5.2,65,6.3,4.6,11.2,141.2,64.0,33,298,8.3,5.0,3.4,1,3
21,Pittsburgh Steelers,14,166,386,43.0,1958,12,3.1,21,5.4,61,5.6,3.8,13.0,139.9,48.9,18,196,4.5,4.8,3.1,2,1
22,New Orleans Saints,14,185,389,47.6,1761,10,2.6,21,5.4,79,5.2,3.3,11.0,125.8,49.6,37,276,8.7,4.1,2.4,2,2
23,Cleveland Browns,14,179,367,48.8,1727,12,3.3,24,6.5,60,5.8,3.5,11.9,123.4,50.6,48,402,11.6,4.2,2.1,1,3
24,Chicago Bears,14,185,396,46.7,1720,8,2.0,22,5.6,73,5.3,3.2,11.2,122.9,46.5,36,359,8.3,4.0,2.1,0,1
25,Buffalo Bills,14,128,251,51.0,1492,14,5.6,15,6.0,55,6.9,5.3,13.5,106.6,67.0,33,236,11.6,5.3,3.9,3,3
26,Atlanta Falcons,14,160,356,44.9,1307,4,1.1,31,8.7,52,5.0,1.3,11.1,93.4,27.8,50,474,12.3,3.2,,0,1
