Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,Philadelphia Eagles,14,275,479,57.4,2998,23,4.8,13,2.7,80,6.8,6.5,11.8,214.1,82.8,34,238,6.6,5.8,5.6,3,2
2,New York Giants,14,230,412,55.8,2561,14,3.4,30,7.3,48,6.7,4.1,12.0,182.9,57.5,28,201,6.4,5.8,3.4,1,1
3,Denver Broncos,14,196,378,51.9,2519,22,5.8,20,5.3,76,7.2,5.9,13.8,179.9,72.5,27,187,6.7,6.2,5.1,2,2
4,San Francisco 49ers,14,233,466,50.0,2481,9,1.9,25,5.4,66,5.7,3.6,11.4,177.2,51.5,27,164,5.5,5.0,3.1,1,1
5,St. Louis Cardinals,14,210,394,53.3,2383,16,4.1,15,3.8,80,6.6,5.7,12.3,170.2,71.6,27,209,6.4,5.7,4.8,1,0
6,Washington Redskins,14,209,372,56.2,2358,20,5.4,14,3.8,64,6.9,6.3,12.2,168.4,79.8,31,202,7.7,5.9,5.3,2,1
7,Dallas Cowboys,14,192,321,59.8,2333,26,8.1,16,5.0,53,8.1,7.5,13.6,166.6,91.9,43,269,11.8,6.4,5.9,0,1
8,Cincinnati Bengals,14,180,332,54.2,2276,18,5.4,12,3.6,78,7.3,6.8,13.6,162.6,80.9,24,163,6.7,6.4,5.9,0,2
9,Oakland Raiders,14,205,353,58.1,2263,16,4.5,18,5.1,80,7.4,6.0,12.7,161.6,75.2,45,348,11.3,5.7,4.5,1,3
10,New England Patriots,14,195,380,51.3,2231,13,3.4,17,4.5,64,6.8,5.5,13.2,159.4,65.9,37,350,8.9,5.4,4.1,2,2
11,New York Jets,14,181,373,48.5,2056,16,4.3,22,5.9,63,6.3,4.5,13.0,146.9,58.5,37,297,9.0,5.0,3.4,1,1
12,Atlanta Falcons,14,168,320,52.5,2001,14,4.4,12,3.8,57,7.4,6.6,14.1,142.9,75.5,41,361,11.4,5.5,4.8,1,2
13,Los Angeles Rams,14,144,271,53.1,1981,22,8.1,11,4.1,69,7.8,7.6,14.6,141.5,88.9,17,126,5.9,6.9,6.7,,
14,Minnesota Vikings,14,179,298,60.1,1956,16,5.4,9,3.0,54,7.5,7.2,12.5,139.7,88.7,32,278,9.7,5.9,5.7,,
15,Pittsburgh Steelers,14,140,309,45.3,1927,20,6.5,26,8.4,67,7.0,4.5,15.4,137.6,55.4,30,230,8.8,5.7,3.4,1,2
16,Houston Oilers,14,225,411,54.7,1919,11,2.7,27,6.6,66,5.8,3.3,10.5,137.1,53.3,43,451,9.5,4.2,2.0,1,1
17,Detroit Lions,14,171,327,52.3,1913,12,3.7,19,5.8,84,6.4,4.6,12.3,136.6,60.5,27,192,7.6,5.4,3.7,1,1
18,San Diego Chargers,14,161,363,44.4,1808,9,2.5,30,8.3,69,5.9,2.6,13.2,129.1,37.3,37,321,9.3,4.5,1.6,1,0
19,Kansas City Chiefs,14,173,313,55.3,1743,10,3.2,13,4.2,48,6.5,5.3,11.8,124.5,68.6,39,296,11.1,5.0,3.9,2,1
20,New Orleans Saints,14,163,338,48.2,1659,11,3.3,17,5.0,65,5.6,4.0,11.7,118.5,55.6,37,242,9.9,4.4,3.0,1,1
21,Miami Dolphins,14,133,256,52.0,1582,17,6.6,12,4.7,53,6.5,5.8,12.6,113.0,75.2,13,93,4.8,5.9,5.1,1,1
22,Baltimore Colts,14,137,300,45.7,1475,14,4.7,25,8.3,66,5.8,3.0,12.7,105.4,45.2,32,271,9.6,4.4,1.9,1,1
23,Cleveland Browns,14,152,308,49.4,1373,10,3.2,20,6.5,51,5.7,3.4,11.5,98.1,50.5,45,368,12.7,3.9,1.9,4,2
24,Green Bay Packers,14,119,255,46.7,1283,7,2.7,17,6.7,50,5.9,3.4,12.6,91.6,46.9,27,220,9.6,4.5,2.3,2,1
25,Chicago Bears,14,136,303,44.9,1222,8,2.6,16,5.3,63,5.3,3.5,11.9,87.3,48.5,49,395,13.9,3.5,1.9,,
26,Buffalo Bills,14,96,213,45.1,997,4,1.9,14,6.6,42,5.8,3.2,12.9,71.2,42.7,31,239,12.7,4.1,1.8,2,1
