Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,Washington Redskins,14,301,527,57.1,3730,31,5.9,17,3.2,86,7.4,7.1,12.9,266.4,86.6,19,157,3.5,6.8,6.6,4,2
2,Baltimore Colts,14,265,457,58.0,3363,22,4.8,17,3.7,88,7.8,7.1,13.4,240.2,83.4,25,198,5.2,7.0,6.3,4,3
3,Philadelphia Eagles,14,244,445,54.8,3094,30,6.7,24,5.4,87,7.8,6.7,14.2,221.0,80.2,49,369,9.9,6.3,5.3,0,1
4,New York Giants,14,221,406,54.4,3040,33,8.1,20,4.9,70,8.3,7.7,15.3,217.1,88.7,37,342,8.4,6.9,6.3,2,2
5,St. Louis Cardinals,14,204,431,47.3,2941,20,4.6,35,8.1,76,7.4,4.6,15.5,210.1,53.8,24,229,5.3,6.5,3.9,2,2
6,Dallas Cowboys,14,210,417,50.4,2799,28,6.7,28,6.7,74,7.4,5.7,14.7,199.9,69.4,42,294,9.2,6.1,4.6,2,2
7,Los Angeles Rams,14,206,390,52.8,2734,28,7.2,16,4.1,80,7.6,7.1,14.3,195.3,84.4,25,213,6.0,6.6,6.2,3,1
8,San Francisco 49ers,14,228,469,48.6,2654,16,3.4,26,5.5,63,6.1,4.3,12.6,189.6,56.3,26,208,5.3,5.4,3.6,2,2
9,New Orleans Saints,14,237,478,49.6,2598,13,2.7,23,4.8,96,6.3,4.6,12.6,185.6,58.5,52,391,9.8,4.9,3.4,1,1
10,Pittsburgh Steelers,14,214,442,48.4,2511,19,4.3,29,6.6,66,6.3,4.2,13.0,179.4,55.6,30,270,6.4,5.3,3.4,2,1
11,Green Bay Packers,14,182,331,55.0,2364,15,4.5,27,8.2,86,8.3,5.6,15.2,168.9,63.7,41,394,11.0,6.4,3.9,1,3
12,Cleveland Browns,14,160,333,48.0,1942,22,6.6,18,5.4,49,6.9,5.8,14.5,138.7,70.6,44,372,11.7,5.2,4.2,1,1
13,Atlanta Falcons,14,179,370,48.4,1710,13,3.5,25,6.8,82,5.8,3.5,12.0,122.1,50.1,49,434,11.7,4.1,2.0,1,0
14,Minnesota Vikings,14,150,336,44.6,1667,11,3.3,24,7.1,85,5.8,3.2,13.0,119.1,44.6,35,284,9.4,4.5,2.2,3,2
15,Detroit Lions,14,160,351,45.6,1631,14,4.0,19,5.4,52,5.2,3.6,11.4,116.5,52.5,24,195,6.4,4.3,2.8,,
16,Chicago Bears,14,131,268,48.9,1441,9,3.4,18,6.7,93,6.2,3.9,12.8,102.9,52.0,27,232,9.2,4.9,2.7,,
