Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,Dallas Cowboys,14,214,413,51.8,3023,27,6.5,14,3.4,95,8.1,7.8,15.6,215.9,86.5,42,308,9.2,6.6,6.4,3,3
2,Washington Redskins,14,255,443,57.6,3014,28,6.3,20,4.5,86,7.3,6.5,12.7,215.3,82.7,27,216,5.7,6.4,5.7,2,3
3,San Francisco 49ers,14,261,500,52.2,2992,21,4.2,26,5.2,65,6.5,5.0,12.4,213.7,64.9,30,247,5.7,5.6,4.2,2,1
4,Baltimore Colts,14,221,401,55.1,2930,26,6.5,27,6.7,89,7.9,6.2,14.4,209.3,74.5,30,242,7.0,6.8,5.2,1,1
5,Cleveland Browns,14,212,402,52.7,2905,33,8.2,15,3.7,54,7.8,7.8,14.8,207.5,90.4,29,237,6.7,6.7,6.7,1,1
6,Green Bay Packers,14,193,318,60.7,2602,18,5.7,5,1.6,83,8.9,9.3,14.7,185.9,102.1,31,229,8.9,7.5,7.8,2,2
7,Minnesota Vikings,14,216,417,51.8,2548,18,4.3,22,5.3,68,7.0,5.5,13.6,182.0,67.0,45,384,9.7,5.5,4.2,2,1
8,Los Angeles Rams,14,249,450,55.3,2540,12,2.7,17,3.8,84,6.4,5.3,11.6,181.4,68.1,54,351,10.7,5.0,4.0,,
9,New York Giants,14,208,424,49.1,2475,20,4.7,31,7.3,98,7.1,4.7,14.4,176.8,57.7,62,524,12.8,5.1,3.0,1,1
10,Detroit Lions,14,239,456,52.4,2424,8,1.8,28,6.1,99,6.0,3.6,11.5,173.1,51.2,35,328,7.1,4.9,2.7,1,0
11,Pittsburgh Steelers,14,188,401,46.9,2354,18,4.5,22,5.5,84,7.2,5.6,15.3,168.1,63.1,66,523,14.1,5.0,3.7,1,1
12,Atlanta Falcons,14,175,381,45.9,2017,14,3.7,27,7.1,62,6.2,3.7,13.5,144.1,48.9,38,345,9.1,4.8,2.6,,
13,St. Louis Cardinals,14,180,386,46.6,1940,13,3.4,19,4.9,69,5.9,4.4,12.7,138.6,56.4,38,352,9.0,4.6,3.2,4,4
14,Philadelphia Eagles,14,179,378,47.4,1900,14,3.7,22,5.8,48,5.7,3.8,12.1,135.7,53.4,35,259,8.5,4.6,2.9,2,3
15,Chicago Bears,14,159,338,47.0,1772,10,3.0,23,6.8,80,6.0,3.5,12.7,126.6,47.6,29,244,7.9,4.8,2.6,2,1
