Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,San Diego Chargers,14,244,450,54.2,3134,23,5.1,28,6.2,77,7.3,5.6,13.5,223.9,69.0,19,171,4.1,6.7,5.0,2,3
2,Dallas Cowboys,14,206,361,57.1,2786,22,6.1,14,3.9,85,8.4,7.9,14.7,199.0,88.8,32,251,8.1,7.1,6.6,1,2
3,New York Giants,14,268,462,58.0,2714,14,3.0,25,5.4,81,6.6,4.8,11.4,193.9,65.6,40,348,8.0,5.4,3.7,1,1
4,San Francisco 49ers,14,209,391,53.5,2577,18,4.6,24,6.1,71,6.9,5.0,12.9,184.1,65.0,11,111,2.7,6.4,4.6,1,2
5,St. Louis Cardinals,14,170,385,44.2,2471,14,3.6,26,6.8,80,6.9,4.6,15.6,176.5,51.6,19,185,4.7,6.1,3.9,1,0
6,Houston Oilers,14,194,423,45.9,2409,12,2.8,37,8.7,70,6.2,2.9,13.6,172.1,39.3,31,234,6.8,5.3,2.2,2,1
7,Kansas City Chiefs,14,183,337,54.3,2347,15,4.5,13,3.9,82,8.0,7.1,14.7,167.6,79.4,35,347,9.4,6.3,5.5,3,3
8,Philadelphia Eagles,14,200,390,51.3,2323,13,3.3,20,5.1,69,6.5,4.9,12.8,165.9,61.8,26,229,6.3,5.6,4.0,1,1
9,Cleveland Browns,14,188,376,50.0,2299,14,3.7,27,7.2,53,6.7,4.2,13.4,164.2,54.2,22,222,5.5,5.8,3.4,2,3
10,Washington Redskins,14,182,334,54.5,2273,13,3.9,15,4.5,71,7.2,5.9,13.1,162.4,71.6,17,118,4.8,6.5,5.3,1,0
11,Atlanta Falcons,14,167,285,58.6,2256,16,5.6,21,7.4,84,8.8,6.6,14.9,161.1,75.4,31,239,9.8,7.1,5.2,2,2
12,Detroit Lions,14,157,299,52.5,2201,17,5.7,14,4.7,76,8.2,7.2,15.6,157.2,79.5,31,252,9.4,6.7,5.8,1,1
13,Oakland Raiders,14,174,348,50.0,2128,21,6.0,26,7.5,67,6.8,4.6,13.6,152.0,61.0,24,235,6.5,5.7,3.7,3,3
14,Pittsburgh Steelers,14,214,414,51.7,2124,15,3.6,26,6.3,49,5.9,3.8,11.4,151.7,55.7,37,322,8.2,4.7,2.8,3,3
15,Cincinnati Bengals,14,214,365,58.6,2124,15,4.1,11,3.0,90,6.6,6.1,11.3,151.7,79.8,40,303,9.9,5.2,4.8,,
16,Los Angeles Rams,14,185,370,50.0,2094,18,4.9,11,3.0,68,6.2,5.9,12.5,149.6,73.5,26,210,6.6,5.3,4.9,3,2
17,Denver Broncos,14,175,358,48.9,2065,8,2.2,27,7.5,74,6.3,3.3,12.8,147.5,44.9,22,178,5.8,5.4,2.7,0,2
18,Buffalo Bills,14,202,401,50.4,1989,12,3.0,32,8.0,75,6.0,3.0,11.9,142.1,45.8,49,421,10.9,4.4,1.8,,
19,Miami Dolphins,14,156,293,53.2,1983,20,6.8,10,3.4,86,7.7,7.5,14.4,141.6,87.0,25,265,7.9,6.2,6.1,2,2
20,New Orleans Saints,14,182,387,47.0,1955,12,3.1,14,3.6,63,6.1,5.1,12.9,139.6,61.9,50,400,11.4,4.5,3.6,4,2
21,Baltimore Colts,14,176,344,51.2,1922,10,2.9,21,6.1,64,6.3,4.1,12.2,137.3,55.0,27,230,7.3,5.2,3.2,1,0
22,Chicago Bears,14,186,443,42.0,1902,12,2.7,28,6.3,64,5.2,2.9,12.3,135.9,41.3,49,392,10.0,3.9,1.8,4,4
23,New England Patriots,14,159,330,48.2,1887,19,5.8,16,4.8,88,6.7,5.7,13.9,134.8,69.1,36,319,9.8,5.2,4.2,1,1
24,Green Bay Packers,14,121,254,47.6,1685,12,4.7,24,9.4,77,7.3,3.9,15.2,120.4,48.4,18,157,6.6,6.2,3.1,1,2
25,Minnesota Vikings,14,157,334,47.0,1655,9,2.7,18,5.4,55,5.7,3.8,12.2,118.2,51.6,28,255,7.7,4.6,2.8,1,3
26,New York Jets,14,119,278,42.8,1379,15,5.4,16,5.8,74,5.6,4.1,13.1,98.5,55.1,23,177,7.6,4.6,3.2,1,2
