Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,Buffalo Bills,14,221,458,48.3,2530,12,2.6,24,5.2,42,6.1,4.3,12.7,180.7,54.7,36,273,7.3,5.1,3.4,1,1
2,St. Louis Cardinals,14,195,366,53.3,2499,14,3.8,21,5.7,69,7.1,5.3,13.4,178.5,65.0,15,109,3.9,6.6,4.8,2,2
3,Baltimore Colts,14,224,395,56.7,2465,17,4.3,12,3.0,78,6.8,6.3,12.0,176.1,79.4,26,221,6.2,5.9,5.4,1,2
4,Dallas Cowboys,14,215,372,57.8,2443,18,4.8,10,2.7,67,7.2,7.0,12.5,174.5,85.3,33,246,8.1,6.0,5.8,2,3
5,Pittsburgh Steelers,14,173,341,50.7,2387,17,5.0,21,6.2,65,7.7,5.9,15.2,170.5,67.5,27,245,7.3,6.5,4.8,0,1
6,Minnesota Vikings,14,228,388,58.8,2368,19,4.9,22,5.7,69,6.9,5.4,11.8,169.1,72.7,35,324,8.3,5.6,4.2,2,3
7,Cincinnati Bengals,14,192,385,49.9,2333,12,3.1,16,4.2,94,6.6,5.4,13.3,166.6,64.3,31,217,7.5,5.6,4.5,1,2
8,Seattle Seahawks,14,175,387,45.2,2328,23,5.9,32,8.3,82,6.4,3.8,14.1,166.3,51.6,21,131,5.1,5.7,3.3,1,1
9,San Diego Chargers,14,206,369,55.8,2244,11,3.0,20,5.4,78,6.6,4.8,11.9,160.3,63.5,24,198,6.1,5.7,4.0,2,2
10,Cleveland Browns,14,208,377,55.2,2175,19,5.0,31,8.2,60,6.3,3.6,11.4,155.4,56.8,24,199,6.0,5.4,2.9,2,2
11,Oakland Raiders,14,184,324,56.8,2109,21,6.5,24,7.4,44,7.2,5.2,12.7,150.6,70.2,25,229,7.2,6.0,4.2,2,2
12,Kansas City Chiefs,14,190,374,50.8,2093,11,2.9,26,7.0,63,6.7,4.2,13.2,149.5,53.3,48,421,11.4,5.0,2.7,0,0
13,Los Angeles Rams,14,182,339,53.7,2016,16,4.7,11,3.2,58,6.6,6.1,12.4,144.0,76.7,25,237,6.9,5.5,5.1,1,1
14,New England Patriots,14,160,305,52.5,2007,17,5.6,21,6.9,68,7.1,5.1,13.5,143.4,65.2,14,155,4.4,6.3,4.4,2,2
15,New York Jets,14,170,360,47.2,2002,14,3.9,26,7.2,87,6.4,3.9,13.4,143.0,50.8,35,284,8.9,5.1,2.8,1,3
16,Miami Dolphins,14,182,311,58.5,1961,22,7.1,14,4.5,73,7.3,6.7,12.4,140.1,86.0,36,303,10.4,5.7,5.1,,
17,Houston Oilers,14,181,347,52.2,1875,14,4.0,21,6.1,85,6.1,4.2,11.6,133.9,59.1,23,232,6.2,5.1,3.3,0,0
18,Washington Redskins,14,183,383,47.8,1863,15,3.9,16,4.2,59,6.0,4.9,12.5,133.1,62.4,52,421,12.0,4.3,3.3,2,2
19,Denver Broncos,14,163,313,52.1,1863,15,4.8,12,3.8,81,7.2,6.5,13.9,133.1,75.6,50,402,13.8,5.1,4.5,2,3
20,Philadelphia Eagles,14,167,349,47.9,1856,18,5.2,21,6.0,55,6.3,4.6,13.2,132.6,60.3,47,342,11.9,4.7,3.2,1,1
21,Chicago Bears,14,161,305,52.8,1844,11,3.6,18,5.9,75,6.8,4.9,12.9,131.7,61.8,26,226,7.9,5.6,3.8,3,4
22,Green Bay Packers,14,164,327,50.2,1748,6,1.8,21,6.4,95,6.2,3.6,12.3,124.9,48.9,32,265,8.9,4.9,2.6,,
23,New Orleans Saints,14,166,321,51.7,1573,13,4.0,21,6.5,59,6.0,3.9,11.6,112.4,56.5,46,360,12.5,4.3,2.4,2,2
24,Detroit Lions,14,191,384,49.7,1518,7,1.8,16,4.2,61,5.1,3.6,10.3,108.4,53.5,54,441,12.3,3.5,2.1,2,2
25,San Francisco 49ers,14,136,277,49.1,1508,9,3.2,17,6.1,47,6.5,4.4,13.2,107.7,55.3,36,289,11.5,4.8,2.9,0,2
26,New York Giants,14,134,311,43.1,1387,6,1.9,22,7.1,82,5.7,2.9,13.1,99.1,38.6,46,375,12.9,3.9,1.4,1,1
27,Atlanta Falcons,14,140,297,47.1,1356,8,2.7,16,5.4,73,5.9,4.0,12.4,96.9,52.3,40,384,11.9,4.0,2.4,0,0
28,Tampa Bay Buccaneers,14,131,321,40.8,1269,3,0.9,30,9.3,67,5.3,1.3,13.1,90.6,22.5,48,445,13.0,3.4,-0.1,,
