Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,EXP
1,New Orleans Saints,16,472,674,70.0,5074,38,5.6,15,2.2,98,7.8,7.9,11.1,317.1,102.5,27,184,3.9,7.2,7.4,2,4,116.53
2,Washington Redskins,16,407,607,67.1,4758,25,4.1,12,2.0,80,8.2,8.1,12.2,297.4,97.4,23,190,3.7,7.6,7.5,4,4,147.00
3,Atlanta Falcons,16,374,537,69.6,4725,38,7.1,7,1.3,76,9.2,10.1,13.3,295.3,116.8,37,235,6.4,8.2,9.0,1,2,243.07
4,New England Patriots,16,368,550,66.9,4308,32,5.8,2,0.4,79,8.1,9.1,12.1,269.3,109.5,24,148,4.2,7.5,8.5,2,2,231.01
5,Indianapolis Colts,16,370,584,63.4,4202,32,5.5,15,2.6,64,7.7,7.6,12.1,262.6,94.5,44,289,7.0,6.7,6.6,4,4,102.28
6,Pittsburgh Steelers,16,381,596,63.9,4202,33,5.5,15,2.5,72,7.3,7.3,11.5,262.6,93.9,21,175,3.4,6.8,6.8,3,3,71.45
7,Green Bay Packers,16,403,620,65.0,4199,40,6.5,8,1.3,60,7.2,7.9,11.0,262.4,102.3,35,246,5.3,6.4,7.1,0,2,179.05
8,San Diego Chargers,16,349,580,60.2,4198,33,5.7,21,3.6,59,7.6,7.1,12.6,262.4,87.6,36,188,5.8,6.8,6.4,1,1,62.52
9,Arizona Cardinals,16,383,646,59.3,4136,28,4.3,17,2.6,80,6.8,6.5,11.6,258.5,83.5,41,289,6.0,6.0,5.7,1,3,21.20
10,Seattle Seahawks,16,368,567,64.9,4124,23,4.1,12,2.1,59,7.8,7.7,12.0,257.8,93.4,42,298,6.9,6.8,6.6,4,3,61.78
11,Detroit Lions,16,388,594,65.3,4111,24,4.0,10,1.7,73,7.3,7.3,11.2,256.9,93.3,37,216,5.9,6.5,6.6,8,8,76.12
12,Baltimore Ravens,16,439,679,64.7,4100,20,2.9,16,2.4,95,6.4,5.9,9.9,256.3,82.6,33,243,4.6,5.8,5.3,2,2,-50.35
13,Oakland Raiders,16,379,596,63.6,4051,29,4.9,7,1.2,75,6.9,7.4,10.9,253.2,95.3,18,86,2.9,6.6,7.0,7,7,63.90
14,Chicago Bears,16,347,559,62.1,3969,19,3.4,19,3.4,64,7.4,6.6,11.9,248.1,81.8,28,170,4.8,6.8,6.0,,,-14.33
15,Cincinnati Bengals,16,364,563,64.7,3942,18,3.2,8,1.4,86,7.5,7.5,11.6,246.4,91.8,41,264,6.8,6.5,6.5,2,1,72.64
16,Tampa Bay Buccaneers,16,355,578,61.4,3926,29,5.0,18,3.1,45,7.2,6.8,11.7,245.4,87.0,35,239,5.7,6.4,6.0,1,3,78.88
17,New York Giants,16,377,598,63.0,3879,26,4.3,16,2.7,75,6.7,6.4,10.7,242.4,86.0,22,148,3.5,6.3,5.9,3,6,0.05
18,Minnesota Vikings,16,414,588,70.4,3836,20,3.4,5,0.9,71,7.0,7.3,9.9,239.8,97.7,38,283,6.1,6.1,6.4,1,1,49.94
19,Kansas City Chiefs,16,365,546,66.8,3740,19,3.5,8,1.5,80,7.2,7.2,10.7,233.8,93.2,32,174,5.5,6.5,6.5,3,3,34.94
20,Jacksonville Jaguars,16,369,626,58.9,3728,24,3.8,16,2.6,51,6.3,5.9,10.6,233.0,79.5,34,197,5.2,5.6,5.3,1,1,12.29
21,Denver Broncos,16,339,570,59.5,3685,20,3.5,11,1.9,76,6.9,6.7,11.5,230.3,83.9,40,229,6.6,6.0,5.9,3,2,-9.53
22,Carolina Panthers,16,306,563,54.4,3685,21,3.7,19,3.4,88,7.0,6.3,12.9,230.3,75.1,36,277,6.0,6.2,5.4,,,-12.06
23,Dallas Cowboys,16,325,483,67.3,3631,25,5.2,6,1.2,83,7.9,8.3,11.7,226.9,103.0,28,168,5.5,7.1,7.6,5,5,103.88
24,Philadelphia Eagles,16,380,609,62.4,3585,16,2.6,14,2.3,73,6.2,5.7,10.0,224.1,79.2,33,213,5.1,5.6,5.1,1,1,15.12
25,Tennessee Titans,16,307,504,60.9,3541,29,5.8,11,2.2,60,7.4,7.5,12.1,221.3,93.7,28,179,5.3,6.7,6.8,2,2,42.90
26,Miami Dolphins,16,316,477,66.2,3500,27,5.7,15,3.1,74,7.8,7.5,11.8,218.8,95.5,30,216,5.9,6.9,6.6,4,5,17.75
27,New York Jets,16,311,550,56.5,3466,16,2.9,25,4.5,69,6.6,5.2,11.7,216.6,67.6,35,179,6.0,5.9,4.5,1,1,-61.88
28,Cleveland Browns,16,338,567,59.6,3264,15,2.6,14,2.5,58,6.5,5.9,10.9,204.0,77.4,66,429,10.4,5.2,4.6,,,-9.70
29,Houston Texans,16,347,583,59.5,3176,15,2.6,16,2.7,53,5.9,5.1,9.9,198.5,73.3,32,242,5.2,5.2,4.5,4,4,-28.35
30,Buffalo Bills,16,286,474,60.3,3036,17,3.6,7,1.5,84,6.9,6.9,11.4,189.8,86.7,46,214,8.8,5.8,5.9,1,1,36.85
31,Los Angeles Rams,16,312,536,58.2,2951,14,2.6,20,3.7,66,6.2,5.0,10.6,184.4,69.5,49,362,8.4,5.0,4.0,1,2,-123.49
32,San Francisco 49ers,16,287,491,58.5,2911,21,4.3,10,2.0,75,6.4,6.4,11.0,181.9,83.4,47,255,8.7,5.4,5.4,1,1,-37.65
