Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,Baltimore Colts,14,215,361,59.6,2933,24,6.6,10,2.8,79,8.9,9.0,15.0,209.5,99.5,30,288,7.7,7.5,7.6,1,1
2,Kansas City Chiefs,14,229,419,54.7,2929,15,3.6,17,4.1,57,7.9,6.8,14.4,209.2,75.5,42,374,9.1,6.4,5.3,3,3
3,Oakland Raiders,14,232,361,64.3,2905,33,9.1,18,5.0,88,8.9,8.4,13.8,207.5,102.2,28,290,7.2,7.5,7.1,3,4
4,Minnesota Vikings,14,270,442,61.1,2855,17,3.8,10,2.3,56,7.1,6.8,11.5,203.9,85.8,31,262,6.6,6.0,5.8,1,4
5,St. Louis Cardinals,14,220,392,56.1,2835,18,4.6,13,3.3,77,7.6,7.0,13.5,202.5,81.9,17,132,4.2,6.9,6.4,3,4
6,Dallas Cowboys,14,222,390,56.9,2737,17,4.4,13,3.3,56,7.6,7.0,13.4,195.5,81.9,30,230,7.1,6.5,5.9,1,2
7,Seattle Seahawks,14,229,480,47.7,2649,13,2.7,30,6.3,80,6.0,3.7,12.6,189.2,49.8,28,225,5.5,5.2,3.1,,
8,San Diego Chargers,14,223,388,57.5,2416,17,4.4,18,4.6,81,6.9,5.7,12.0,172.6,74.1,46,271,10.6,5.6,4.5,1,2
9,Los Angeles Rams,14,171,315,54.3,2341,17,5.4,15,4.8,80,8.3,7.3,15.4,167.2,80.2,32,288,9.2,6.7,5.8,3,4
10,Miami Dolphins,14,193,346,55.8,2268,15,4.3,15,4.3,67,7.5,6.4,13.5,162.0,76.3,37,336,9.7,5.9,4.9,0,1
11,Cleveland Browns,14,209,373,56.0,2247,21,5.6,15,4.0,52,6.4,5.7,11.5,160.5,77.6,19,152,4.8,5.7,5.1,1,1
12,Denver Broncos,14,168,353,47.6,2204,15,4.2,22,6.2,71,7.1,5.2,14.9,157.4,59.6,48,306,12.0,5.5,3.8,2,2
13,Cincinnati Bengals,14,187,360,51.9,2191,21,5.8,15,4.2,85,6.8,6.1,13.1,156.5,75.7,37,252,9.3,5.5,4.9,3,3
14,Detroit Lions,14,201,356,56.5,2140,20,5.6,12,3.4,74,7.4,7.0,13.1,152.9,84.6,67,490,15.8,5.1,4.7,1,2
15,Houston Oilers,14,227,423,53.7,2072,17,4.0,19,4.5,69,5.7,4.5,10.7,148.0,65.4,39,357,8.4,4.5,3.4,0,1
16,Washington Redskins,14,187,370,50.5,1985,20,5.4,20,5.4,53,6.2,4.8,12.2,141.8,65.5,38,303,9.3,4.9,3.6,3,5
17,New Orleans Saints,14,206,403,51.1,1984,8,2.0,14,3.5,74,5.8,4.7,11.4,141.7,61.2,51,369,11.2,4.4,3.3,1,1
18,Buffalo Bills,14,156,383,40.7,1838,16,4.2,17,4.4,58,5.4,4.3,13.4,131.3,54.1,33,246,7.9,4.4,3.3,1,1
19,New York Giants,14,175,326,53.7,1792,9,2.8,24,7.4,63,6.5,3.7,12.0,128.0,52.2,44,312,11.9,4.8,2.4,0,1
20,New England Patriots,14,146,309,47.2,1746,18,5.8,20,6.5,58,6.2,4.4,13.1,124.7,59.7,19,164,5.8,5.3,3.7,0,0
21,Green Bay Packers,14,164,357,45.9,1730,10,2.8,22,6.2,69,5.9,3.7,12.8,123.6,48.6,41,375,10.3,4.3,2.4,4,4
22,Pittsburgh Steelers,14,143,277,51.6,1666,10,3.6,12,4.3,64,7.0,5.8,13.5,119.0,68.2,27,269,8.9,5.5,4.4,,
23,San Francisco 49ers,14,155,306,50.7,1638,15,4.9,21,6.9,85,6.4,4.3,12.7,117.0,58.8,34,325,10.0,4.8,2.9,,
24,New York Jets,14,180,393,45.8,1606,7,1.8,28,7.1,44,5.1,2.2,11.1,114.7,37.6,45,383,10.3,3.7,1.1,0,1
25,Tampa Bay Buccaneers,14,181,376,48.1,1503,9,2.4,20,5.3,49,5.1,3.2,10.6,107.4,49.4,50,423,11.7,3.5,1.8,,
26,Philadelphia Eagles,14,182,369,49.3,1492,11,3.0,18,4.9,48,5.0,3.4,10.1,106.6,53.6,43,352,10.4,3.6,2.2,1,1
27,Chicago Bears,14,123,278,44.2,1480,9,3.2,15,5.4,63,6.1,4.4,13.9,105.7,52.8,24,225,7.9,4.9,3.3,,
28,Atlanta Falcons,14,157,354,44.4,1414,10,2.8,24,6.8,50,5.1,2.6,11.5,101.0,41.5,44,395,11.1,3.6,1.3,3,4
