Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,San Francisco 49ers,16,432,644,67.1,4608,29,4.5,16,2.5,81,7.4,7.2,11.1,288.0,93.6,33,171,4.9,6.8,6.6,,
2,Detroit Lions,16,362,605,59.8,4360,33,5.5,12,2.0,91,7.5,7.7,12.5,272.5,92.9,32,150,5.0,6.8,7.0,1,3
3,Green Bay Packers,16,372,593,62.7,4322,39,6.6,15,2.5,99,7.7,7.8,12.2,270.1,97.6,33,217,5.3,6.9,7.1,0,1
4,Miami Dolphins,16,384,592,64.9,4210,28,4.7,20,3.4,67,7.4,6.9,11.5,263.1,88.8,29,188,4.7,6.8,6.2,2,3
5,Minnesota Vikings,16,402,642,62.6,4205,33,5.1,16,2.5,85,7.0,6.9,11.2,262.8,90.2,40,295,5.9,6.2,6.1,0,3
6,Atlanta Falcons,16,364,603,60.4,4186,26,4.3,12,2.0,62,7.4,7.4,12.2,261.6,89.3,43,270,6.7,6.5,6.4,2,5
7,Denver Broncos,16,350,594,58.9,4045,27,4.5,14,2.4,62,7.2,7.0,12.2,252.8,86.4,26,215,4.2,6.5,6.4,1,3
8,Pittsburgh Steelers,16,348,592,58.8,3917,21,3.5,21,3.5,71,6.9,6.0,11.8,244.8,76.9,24,176,3.9,6.4,5.5,2,5
9,St. Louis Rams,16,366,632,57.9,3805,27,4.3,23,3.6,72,6.5,5.7,11.2,237.8,76.5,43,308,6.4,5.6,4.9,,
10,New Orleans Saints,16,349,573,60.9,3788,26,4.5,14,2.4,70,7.0,6.8,11.5,236.8,86.9,28,214,4.7,6.3,6.1,0,2
11,Cincinnati Bengals,16,334,586,57.0,3753,29,4.9,18,3.1,88,6.7,6.3,11.7,234.6,81.1,25,162,4.1,6.1,5.8,2,3
12,Chicago Bears,16,315,523,60.2,3743,29,5.5,10,1.9,76,7.3,7.6,12.2,233.9,93.4,15,95,2.8,7.0,7.2,1,2
13,Dallas Cowboys,16,322,494,65.2,3623,18,3.6,10,2.0,50,7.6,7.4,11.6,226.4,91.7,18,118,3.5,7.1,6.9,2,2
14,Cleveland Browns,16,324,555,58.4,3594,21,3.8,20,3.6,70,6.8,5.9,11.6,224.6,76.6,32,178,5.5,6.1,5.3,1,2
15,New England Patriots,16,351,686,51.2,3591,14,2.0,16,2.3,72,5.5,4.9,10.8,224.4,64.8,27,198,3.8,5.0,4.4,2,2
16,Oakland Raiders,16,317,543,58.4,3573,25,4.6,21,3.9,80,7.0,6.2,11.9,223.3,79.0,36,214,6.2,6.2,5.4,1,1
17,Arizona Cardinals,16,327,560,58.4,3503,17,3.0,24,4.3,48,7.0,5.6,11.9,218.9,72.0,55,390,8.9,5.7,4.5,3,2
18,San Diego Chargers,16,318,540,58.9,3466,17,3.1,18,3.3,51,6.9,6.0,11.7,216.6,76.4,32,240,5.6,6.1,5.2,2,2
19,Houston Oilers,16,314,536,58.6,3241,22,4.1,18,3.4,76,6.6,5.9,11.2,202.6,77.9,32,271,5.6,5.7,5.1,,
20,Washington Redskins,16,265,521,50.9,3228,16,3.1,20,3.8,73,6.7,5.6,13.2,201.8,66.7,36,268,6.5,5.8,4.8,1,0
21,Buffalo Bills,16,279,506,55.1,3124,24,4.7,14,2.8,77,6.6,6.3,12.0,195.3,79.9,32,224,5.9,5.8,5.5,1,2
22,Seattle Seahawks,16,273,511,53.4,3092,19,3.7,23,4.5,59,6.6,5.3,12.3,193.3,67.6,45,267,8.1,5.6,4.4,2,2
23,Indianapolis Colts,16,270,434,62.2,3064,20,4.6,11,2.5,52,7.8,7.6,12.5,191.5,91.1,49,309,10.1,6.3,6.1,3,4
24,Carolina Panthers,16,263,537,49.0,3046,16,3.0,25,4.7,89,6.2,4.7,12.6,190.4,59.1,38,258,6.6,5.3,3.9,1,3
25,Kansas City Chiefs,16,300,531,56.5,3020,21,4.0,10,1.9,60,6.0,5.9,10.6,188.8,79.4,21,158,3.8,5.5,5.4,3,1
26,Tampa Bay Buccaneers,16,267,507,52.7,2955,5,1.0,20,3.9,64,6.6,5.0,12.5,184.7,60.3,56,386,9.9,5.2,3.8,2,5
27,Jacksonville Jaguars,16,275,495,55.6,2790,19,3.8,15,3.0,71,6.4,5.8,11.4,174.4,75.0,57,354,10.3,5.1,4.5,2,2
28,New York Jets,16,330,589,56.0,2788,20,3.4,24,4.1,43,5.3,4.2,9.5,174.3,65.2,47,341,7.4,4.4,3.3,1,1
29,Philadelphia Eagles,16,284,496,57.3,2686,11,2.2,19,3.8,37,5.9,4.6,10.3,167.9,65.9,46,245,8.5,5.0,3.8,3,4
30,New York Giants,16,260,479,54.3,2650,11,2.3,13,2.7,57,6.0,5.2,11.0,165.6,68.6,46,213,8.8,5.0,4.4,1,1
