Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,Cincinnati Bengals,14,255,433,58.9,3241,23,5.3,14,3.2,55,8.1,7.7,13.7,231.5,89.0,34,256,7.3,6.9,6.6,1,2
2,Washington Redskins,14,229,448,51.1,2917,28,6.3,29,6.5,96,6.9,5.2,13.5,208.4,67.3,27,175,5.7,6.1,4.6,3,5
3,Minnesota Vikings,14,281,446,63.0,2861,27,6.1,14,3.1,46,7.0,6.8,11.1,204.4,90.8,29,260,6.1,6.0,5.8,1,1
4,Dallas Cowboys,14,207,376,55.1,2593,19,5.1,17,4.5,62,7.5,6.5,13.7,185.2,77.4,39,242,9.4,6.2,5.3,2,3
5,San Francisco 49ers,14,234,450,52.0,2560,15,3.3,19,4.2,68,6.2,5.0,12.0,182.9,64.9,33,246,6.8,5.3,4.2,1,1
6,St. Louis Cardinals,14,187,355,52.7,2553,20,5.6,20,5.6,80,7.4,6.0,14.0,182.4,72.0,8,66,2.2,7.0,5.7,4,4
7,Denver Broncos,14,210,427,49.2,2541,15,3.5,34,8.0,90,6.8,3.9,13.8,181.5,49.9,47,359,9.9,5.4,2.8,2,4
8,Buffalo Bills,14,182,354,51.4,2493,28,7.9,19,5.4,77,7.5,6.7,14.6,178.1,80.2,22,168,5.9,6.6,5.8,1,3
9,Philadelphia Eagles,14,238,458,52.0,2440,19,4.1,23,5.0,62,5.8,4.3,11.1,174.3,62.3,30,200,6.1,5.0,3.7,0,1
10,New England Patriots,14,193,401,48.1,2438,16,4.0,28,7.0,76,6.9,4.6,14.3,174.1,55.2,39,330,8.9,5.5,3.4,,
11,Oakland Raiders,14,196,350,56.0,2391,19,5.4,28,8.0,53,7.5,5.0,13.4,170.8,64.8,26,234,6.9,6.4,4.0,1,2
12,Kansas City Chiefs,14,217,395,54.9,2360,15,3.8,16,4.1,69,7.1,6.0,12.8,168.6,73.0,53,425,11.8,5.3,4.3,2,3
13,Baltimore Colts,14,211,354,59.6,2281,19,5.4,8,2.3,90,7.4,7.4,12.4,162.9,90.9,38,325,9.7,5.8,5.9,3,3
14,Pittsburgh Steelers,14,191,337,56.7,2254,21,6.2,12,3.6,59,7.5,7.2,13.3,161.0,86.7,31,290,8.4,6.1,5.8,0,3
15,Los Angeles Rams,14,181,334,54.2,2195,14,4.2,17,5.1,54,7.3,5.9,13.5,156.8,70.6,30,255,8.2,6.0,4.7,2,4
16,New York Jets,14,174,384,45.3,2151,16,4.2,33,8.6,91,6.4,3.4,14.2,153.6,44.7,34,317,8.1,5.1,2.4,,
17,New York Giants,14,193,379,50.9,2102,11,2.9,18,4.7,56,6.5,4.9,12.7,150.1,61.4,49,355,11.4,4.9,3.5,2,2
18,Green Bay Packers,14,212,394,53.8,2072,11,2.8,22,5.6,56,6.1,4.1,11.3,148.0,58.3,42,328,9.6,4.8,3.0,1,1
19,Atlanta Falcons,14,165,388,42.5,2067,18,4.6,29,7.5,68,6.1,3.6,14.3,147.6,47.2,32,294,7.6,4.9,2.7,,
20,Miami Dolphins,14,170,279,60.9,2009,19,6.8,17,6.1,79,7.9,6.5,12.9,143.5,83.0,23,187,7.6,6.7,5.4,3,3
21,Cleveland Browns,14,220,437,50.3,1957,7,1.6,23,5.3,48,5.3,3.2,10.4,139.8,49.3,38,340,8.0,4.1,2.2,2,2
22,Detroit Lions,14,183,362,50.6,1917,15,4.1,12,3.3,65,6.2,5.5,12.2,136.9,70.0,41,323,10.2,4.8,4.2,1,2
23,Houston Oilers,14,165,347,47.6,1869,14,4.0,17,4.9,77,6.0,4.7,12.7,133.5,59.9,27,230,7.2,5.0,3.7,3,4
24,Chicago Bears,14,191,356,53.7,1839,9,2.5,23,6.5,57,6.1,3.7,11.4,131.4,53.7,32,330,8.2,4.7,2.5,2,2
25,San Diego Chargers,14,165,337,49.0,1610,7,2.1,17,5.0,57,5.9,4.1,12.1,115.0,53.5,50,388,12.9,4.2,2.5,1,1
26,New Orleans Saints,14,181,392,46.2,1545,8,2.0,24,6.1,71,5.0,2.7,10.8,110.4,42.7,53,416,11.9,3.5,1.4,1,1
