Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,San Diego Chargers,16,338,541,62.5,3915,24,4.4,25,4.6,65,7.6,6.5,12.2,244.7,81.6,31,223,5.4,6.8,5.7,1,1
2,Pittsburgh Steelers,16,272,492,55.3,3655,26,5.3,26,5.3,65,7.9,6.6,14.3,228.4,76.6,27,222,5.2,7.0,5.8,4,4
3,San Francisco 49ers,16,361,602,60.0,3641,18,3.0,21,3.5,50,6.2,5.3,10.4,227.6,73.5,17,119,2.7,5.9,4.9,1,1
4,Dallas Cowboys,16,287,503,57.1,3593,29,5.8,13,2.6,75,7.7,7.7,13.5,224.6,90.2,41,290,7.5,6.6,6.6,4,4
5,Seattle Seahawks,16,292,523,55.8,3590,20,3.8,18,3.4,65,7.2,6.5,13.0,224.4,77.2,23,201,4.2,6.6,5.8,2,3
6,Cleveland Browns,16,289,545,53.0,3491,28,5.1,27,5.0,74,7.0,5.8,13.3,218.2,72.1,43,347,7.3,5.9,4.8,5,7
7,Oakland Raiders,16,311,513,60.6,3411,27,5.3,23,4.5,66,7.2,6.3,11.9,213.2,81.6,36,293,6.6,6.2,5.3,1,1
8,New England Patriots,16,237,475,49.9,3218,30,6.3,23,4.8,63,7.6,6.7,15.2,201.1,76.1,49,382,9.4,6.1,5.3,2,2
9,Buffalo Bills,16,241,465,51.8,3216,14,3.0,15,3.2,84,7.7,6.9,15.0,201.0,74.2,43,387,8.5,6.3,5.6,2,3
10,Baltimore Colts,16,313,550,56.9,3172,18,3.3,19,3.5,67,6.5,5.6,11.4,198.3,73.1,52,403,8.6,5.3,4.4,2,2
11,New Orleans Saints,16,257,428,60.0,3151,16,3.7,22,5.1,85,7.7,6.1,12.8,196.9,75.2,17,140,3.8,7.1,5.6,,
12,Minnesota Vikings,16,315,566,55.7,3139,23,4.1,24,4.2,55,6.0,4.9,10.8,196.2,69.3,37,258,6.1,5.2,4.2,3,3
13,Denver Broncos,16,260,476,54.6,3106,18,3.8,23,4.8,64,7.2,5.8,13.2,194.1,70.1,43,327,8.3,6.0,4.7,1,4
14,Miami Dolphins,16,235,416,56.5,2763,20,4.8,22,5.3,53,7.3,5.8,12.8,172.7,73.4,29,255,6.5,6.2,4.9,2,2
15,Atlanta Falcons,16,251,479,52.4,2729,19,4.0,23,4.8,57,6.5,5.2,12.5,170.6,66.2,54,398,10.1,5.1,3.9,5,4
16,Green Bay Packers,16,240,444,54.1,2681,15,3.4,22,5.0,78,6.9,5.3,12.7,167.6,66.4,47,376,9.6,5.5,4.1,,
17,Los Angeles Rams,16,242,456,53.1,2673,19,4.2,29,6.4,71,6.6,4.6,12.5,167.1,61.4,39,359,7.9,5.4,3.5,0,1
18,Tampa Bay Buccaneers,16,183,434,42.2,2612,19,4.4,26,6.0,66,6.2,4.4,14.8,163.3,52.8,12,88,2.7,5.9,4.1,3,4
19,Philadelphia Eagles,16,209,410,51.0,2610,21,5.1,13,3.2,53,7.0,6.6,13.8,163.1,77.7,34,272,7.7,5.9,5.5,2,2
20,St. Louis Cardinals,16,248,492,50.4,2602,12,2.4,24,4.9,78,5.8,4.1,11.6,162.6,56.2,39,268,7.3,4.9,3.3,2,2
21,New York Jets,16,190,369,51.5,2598,16,4.3,25,6.8,72,7.8,5.6,15.1,162.4,63.6,32,266,8.0,6.5,4.5,,
22,Washington Redskins,16,235,401,58.6,2576,20,5.0,15,3.7,62,7.1,6.4,12.1,161.0,81.5,34,263,7.8,5.9,5.3,3,4
23,Detroit Lions,16,218,452,48.2,2336,14,3.1,27,6.0,82,6.1,4.1,12.7,146.0,53.3,51,439,10.1,4.6,2.8,1,1
24,Cincinnati Bengals,16,228,426,53.5,2310,17,4.0,15,3.5,73,6.6,5.8,12.4,144.4,72.9,63,511,12.9,4.7,4.0,,
25,Houston Oilers,16,195,386,50.5,2256,17,4.4,21,5.4,55,6.5,4.9,12.8,141.0,63.1,32,238,7.7,5.4,3.9,2,4
26,Chicago Bears,16,195,373,52.3,2151,16,4.3,16,4.3,68,6.5,5.4,12.5,134.4,69.2,31,278,7.7,5.3,4.3,2,3
27,New York Giants,16,190,401,47.4,1954,15,3.7,22,5.5,61,6.0,4.3,12.7,122.1,56.3,59,465,12.8,4.2,2.7,0,0
28,Kansas City Chiefs,16,190,361,52.6,1660,7,1.9,18,5.0,40,5.4,3.6,10.3,103.8,54.2,42,293,10.4,4.1,2.5,0,1
