Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,San Francisco 49ers,14,278,496,56.0,3158,22,4.4,26,5.2,80,6.8,5.3,12.2,225.6,70.1,27,221,5.2,6.0,4.6,2,2
2,Baltimore Colts,14,225,429,52.4,2987,17,4.0,27,6.3,52,7.3,5.3,14.0,213.4,63.3,19,156,4.2,6.7,4.7,3,3
3,New Orleans Saints,14,245,453,54.1,2974,22,4.9,20,4.4,70,7.1,6.1,13.1,212.4,74.5,27,241,5.6,6.2,5.2,4,4
4,Dallas Cowboys,14,189,355,53.2,2846,24,6.8,18,5.1,75,9.0,8.1,17.0,203.3,85.6,44,366,11.0,7.1,6.3,2,2
5,Washington Redskins,14,275,444,61.9,2784,22,5.0,16,3.6,88,7.0,6.4,11.3,198.9,84.3,40,322,8.3,5.8,5.2,2,0
6,Philadelphia Eagles,14,216,458,47.2,2782,20,4.4,28,6.1,80,6.6,4.7,14.0,198.7,58.0,29,240,6.0,5.7,3.9,3,2
7,New York Giants,14,234,435,53.8,2775,24,5.5,8,1.8,65,7.1,7.3,13.1,198.2,87.1,37,301,7.8,5.9,6.1,4,4
8,St. Louis Cardinals,14,216,430,50.2,2739,19,4.4,25,5.8,84,6.8,5.1,13.6,195.6,62.9,21,201,4.7,6.1,4.4,2,1
9,Cleveland Browns,14,199,378,52.6,2640,24,6.3,21,5.6,82,7.5,6.3,14.2,188.6,75.2,20,190,5.0,6.6,5.5,2,2
10,Los Angeles Rams,14,222,416,53.4,2521,25,6.0,7,1.7,93,6.4,6.8,11.9,180.1,86.1,17,129,3.9,5.8,6.2,1,1
11,Green Bay Packers,14,182,319,57.1,2376,20,6.3,17,5.3,60,8.4,7.3,14.7,169.7,83.3,34,302,9.6,6.7,5.7,1,2
12,Minnesota Vikings,14,176,346,50.9,2246,24,6.9,18,5.2,83,7.2,6.3,14.2,160.4,76.0,34,252,8.9,5.9,5.0,2,2
13,Pittsburgh Steelers,14,176,391,45.0,2084,17,4.3,29,7.4,63,6.3,3.8,14.0,148.9,49.4,52,374,11.7,4.7,2.5,1,1
14,Atlanta Falcons,14,149,282,52.8,1753,20,7.1,12,4.3,88,7.9,7.4,15.0,125.2,85.0,63,477,18.3,5.1,4.7,,
15,Detroit Lions,14,165,329,50.2,1600,12,3.6,18,5.5,62,6.0,4.2,11.9,114.3,58.0,42,358,11.3,4.3,2.8,2,1
16,Chicago Bears,14,193,384,50.3,1490,11,2.9,21,5.5,48,5.0,3.1,10.0,106.4,51.7,55,439,12.5,3.4,1.7,,
