Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,EXP
1,Houston Texans,16,399,593,67.3,4654,29,4.9,17,2.9,72,8.1,7.8,12.0,290.9,96.3,25,149,4.0,7.5,7.2,2,4,89.38
2,Indianapolis Colts,16,402,601,66.9,4515,34,5.7,19,3.2,80,7.7,7.4,11.5,282.2,95.4,13,90,2.1,7.4,7.1,7,7,164.84
3,New England Patriots,16,390,592,65.9,4436,28,4.7,13,2.2,81,7.7,7.6,11.6,277.3,95.6,18,104,3.0,7.3,7.2,1,1,76.95
4,New Orleans Saints,16,378,544,69.5,4355,34,6.3,12,2.2,75,8.3,8.5,11.9,272.2,106.0,20,135,3.5,7.7,8.0,2,4,137.36
5,San Diego Chargers,16,338,519,65.1,4338,29,5.6,10,1.9,81,8.7,8.9,13.3,271.1,103.1,26,168,4.8,8.0,8.2,3,5,110.33
6,Dallas Cowboys,16,347,550,63.1,4287,26,4.7,9,1.6,80,8.2,8.4,12.9,267.9,97.6,34,196,5.8,7.3,7.5,3,3,34.16
7,Green Bay Packers,16,357,553,64.6,4180,30,5.4,8,1.4,83,8.1,8.6,12.6,261.3,101.8,51,312,8.4,6.9,7.3,2,2,77.06
8,Minnesota Vikings,16,377,553,68.2,4156,34,6.1,7,1.3,63,8.0,8.6,11.7,259.8,107.3,34,247,5.8,7.1,7.7,2,2,160.28
9,Pittsburgh Steelers,16,351,536,65.5,4148,28,5.2,14,2.6,60,8.4,8.3,12.8,259.3,98.1,50,348,8.5,7.1,7.0,2,3,33.64
10,Philadelphia Eagles,16,335,553,60.6,4089,27,4.9,13,2.4,71,7.9,7.8,13.1,255.6,92.0,38,291,6.4,6.9,6.8,2,3,-0.58
11,New York Giants,16,338,542,62.4,4019,28,5.2,14,2.6,74,7.8,7.7,12.6,251.2,93.2,32,227,5.6,7.0,6.9,1,2,61.56
12,Arizona Cardinals,16,392,594,66.0,4016,27,4.5,18,3.0,45,7.1,6.6,10.7,251.0,89.1,26,184,4.2,6.5,6.0,1,2,-17.36
13,Denver Broncos,16,341,558,61.1,3627,21,3.8,13,2.3,87,6.9,6.6,11.2,226.7,84.4,34,198,5.7,6.1,5.8,3,3,-29.76
14,Atlanta Falcons,16,332,570,58.2,3571,26,4.6,17,3.0,90,6.5,6.1,11.1,223.2,80.4,27,126,4.5,6.0,5.6,2,4,5.22
15,Seattle Seahawks,16,372,609,61.1,3503,20,3.3,19,3.1,53,6.2,5.4,10.1,218.9,76.7,41,268,6.3,5.4,4.7,0,1,-92.30
16,Washington Redskins,16,340,533,63.8,3490,21,3.9,16,3.0,84,7.1,6.6,11.2,218.1,85.5,46,307,7.9,6.0,5.5,1,1,-52.22
17,Chicago Bears,16,340,563,60.4,3473,27,4.8,27,4.8,71,6.5,5.3,10.8,217.1,75.6,35,204,5.9,5.8,4.7,2,4,-100.63
18,Baltimore Ravens,16,321,510,62.9,3419,21,4.1,13,2.5,72,7.1,6.8,11.3,213.7,87.4,36,218,6.6,6.3,6.0,1,2,-11.18
19,Jacksonville Jaguars,16,315,519,60.7,3356,15,2.9,10,1.9,63,6.9,6.6,11.4,209.8,83.2,44,243,7.8,6.0,5.7,3,4,-57.20
20,Miami Dolphins,16,331,545,60.7,3170,15,2.8,19,3.5,67,6.2,5.2,10.3,198.1,73.3,34,226,5.9,5.5,4.5,3,3,-43.71
21,Detroit Lions,16,316,585,54.0,3168,16,2.7,32,5.5,75,5.9,4.0,11.0,198.0,58.1,43,303,6.8,5.0,3.3,1,1,-148.76
22,San Francisco 49ers,16,312,528,59.1,3052,23,4.4,14,2.7,73,6.2,5.9,10.6,190.8,80.8,40,241,7.0,5.4,5.1,1,1,-70.07
23,Tennessee Titans,16,271,476,56.9,3031,16,3.4,15,3.2,69,6.5,5.8,11.5,189.4,74.8,15,73,3.1,6.2,5.5,3,6,-70.45
24,Tampa Bay Buccaneers,16,279,524,53.2,2973,18,3.4,29,5.5,47,6.0,4.2,11.2,185.8,59.8,33,161,5.9,5.3,3.6,2,2,-118.73
25,Kansas City Chiefs,16,296,536,55.2,2922,18,3.4,17,3.2,61,5.9,5.2,10.8,182.6,70.8,45,261,7.7,5.0,4.3,1,2,-106.75
26,Cincinnati Bengals,16,286,477,60.0,2890,21,4.4,13,2.7,73,6.6,6.2,11.0,180.6,82.7,29,244,5.7,5.7,5.4,3,5,-31.31
27,Carolina Panthers,16,264,465,56.8,2799,16,3.4,20,4.3,66,6.6,5.4,11.6,174.9,70.5,33,271,6.6,5.6,4.5,2,3,-57.72
28,St. Louis Rams,16,312,543,57.5,2686,12,2.2,21,3.9,50,5.5,4.2,9.5,167.9,64.0,44,284,7.5,4.6,3.4,0,1,-163.97
29,Oakland Raiders,16,255,485,52.6,2557,10,2.1,18,3.7,86,5.9,4.7,11.3,159.8,62.0,49,318,9.2,4.8,3.6,4,4,-181.93
30,Buffalo Bills,16,256,441,58.0,2515,17,3.9,19,4.3,98,6.3,5.2,10.9,157.2,71.7,46,274,9.4,5.2,4.1,1,2,-98.88
31,New York Jets,16,210,393,53.4,2380,12,3.1,21,5.3,65,6.6,4.8,12.4,148.8,62.0,30,216,7.1,5.6,4.0,,,-74.97
32,Cleveland Browns,16,219,443,49.4,2076,11,2.5,18,4.1,59,5.1,3.8,10.3,129.8,55.8,30,179,6.3,4.4,3.1,0,2,-152.34
