Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,San Francisco 49ers,14,226,383,59.0,2923,25,6.5,10,2.6,79,7.8,7.9,13.2,208.8,94.7,8,67,2.0,7.5,7.6,2,2
2,Oakland Raiders,14,210,418,50.2,2865,28,6.7,21,5.0,60,7.2,6.3,14.4,204.6,75.5,19,164,4.3,6.6,5.7,5,5
3,Baltimore Colts,14,219,416,52.6,2798,23,5.5,22,5.3,55,7.4,6.1,14.1,199.9,73.3,33,289,7.3,6.2,5.1,3,3
4,New York Giants,14,230,403,57.1,2634,19,4.7,12,3.0,59,7.2,6.8,12.6,188.1,82.9,37,258,8.4,6.0,5.6,2,5
5,Cleveland Browns,14,190,392,48.5,2582,17,4.3,24,6.1,78,7.0,5.1,14.5,184.4,60.7,16,170,3.9,6.3,4.5,1,1
6,Los Angeles Rams,14,218,426,51.2,2508,17,4.0,13,3.1,71,6.2,5.7,12.2,179.1,71.3,23,150,5.1,5.6,5.0,1,1
7,Houston Oilers,14,238,470,50.6,2506,12,2.6,23,4.9,87,5.9,4.2,11.6,179.0,56.9,33,262,6.6,5.0,3.4,1,1
8,San Diego Chargers,14,192,387,49.6,2503,24,6.2,19,4.9,80,7.6,6.6,15.3,178.8,75.3,57,433,12.8,5.6,4.8,2,0
9,St. Louis Cardinals,14,178,390,45.6,2473,16,4.1,19,4.9,79,6.9,5.5,15.1,176.6,62.2,26,216,6.3,5.9,4.7,1,1
10,New Orleans Saints,14,213,415,51.3,2458,11,2.7,22,5.3,49,6.5,4.6,12.6,175.6,58.6,28,232,6.3,5.5,3.8,2,1
11,Philadelphia Eagles,14,218,410,53.2,2451,16,3.9,23,5.6,79,6.5,4.7,12.2,175.1,63.0,23,200,5.3,5.7,4.0,1,2
12,Buffalo Bills,14,213,402,53.0,2430,13,3.2,26,6.5,48,7.3,5.0,13.7,173.6,60.3,53,486,11.6,5.3,3.3,3,2
13,New York Jets,14,193,386,50.0,2307,14,3.6,22,5.7,72,6.7,4.9,13.4,164.8,60.1,35,285,8.3,5.5,3.8,,
14,Minnesota Vikings,14,173,344,50.3,2181,12,3.5,15,4.4,72,6.9,5.6,13.7,155.8,66.3,29,197,7.8,5.8,4.7,1,1
15,Chicago Bears,14,210,422,49.8,2173,21,5.0,22,5.2,69,5.8,4.4,11.6,155.2,62.4,33,258,7.3,4.8,3.5,,
16,Dallas Cowboys,14,149,297,50.2,2149,18,6.1,16,5.4,89,8.2,7.0,16.4,153.5,75.9,39,296,11.6,6.4,5.3,0,1
17,Washington Redskins,14,203,342,59.4,2108,23,6.7,10,2.9,66,6.9,6.9,11.6,150.6,90.5,29,249,7.8,5.7,5.7,,
18,Pittsburgh Steelers,14,150,384,39.1,2037,12,3.1,32,8.3,87,6.0,2.9,15.4,145.5,35.4,28,275,6.8,4.9,2.0,1,1
19,Denver Broncos,14,183,403,45.4,2025,11,2.7,28,6.9,74,5.9,3.3,12.9,144.6,44.5,44,333,9.8,4.5,2.2,1,0
20,Miami Dolphins,14,159,299,53.2,1957,15,5.0,19,6.4,54,7.6,5.8,14.4,139.8,68.5,36,327,10.7,5.8,4.2,0,1
21,Cincinnati Bengals,14,172,339,50.7,1870,12,3.5,11,3.2,56,6.2,5.4,12.2,133.6,68.4,31,227,8.4,5.1,4.4,,
22,Detroit Lions,14,167,294,56.8,1857,19,6.5,12,4.1,58,7.2,6.7,12.7,132.6,84.0,36,264,10.9,5.6,5.1,1,2
23,Atlanta Falcons,14,197,342,57.6,1831,18,5.3,21,6.1,51,6.6,4.9,11.5,130.8,69.6,53,431,13.4,4.6,3.2,2,2
24,Green Bay Packers,14,177,351,50.4,1814,11,3.1,24,6.8,89,6.3,3.8,12.4,129.6,52.1,43,382,10.9,4.6,2.4,3,3
25,Kansas City Chiefs,14,154,289,53.3,1719,13,4.5,16,5.5,61,7.1,5.5,13.2,122.8,67.8,38,319,11.6,5.3,3.9,1,0
26,Boston Patriots,14,176,392,44.9,1586,7,1.8,28,7.1,48,5.0,2.2,11.2,113.3,36.7,42,389,9.7,3.7,1.1,,
