Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,New York Jets,14,172,347,49.6,2777,21,6.1,22,6.3,83,8.4,6.8,17.0,198.4,72.3,17,153,4.7,7.6,6.1,2,2
2,San Francisco 49ers,14,217,380,57.1,2735,27,7.1,24,6.3,81,7.6,6.2,13.3,195.4,78.7,22,153,5.5,6.8,5.5,2,1
3,Denver Broncos,14,201,384,52.3,2634,19,4.9,23,6.0,60,7.6,5.8,14.4,188.1,68.7,38,266,9.0,6.2,4.7,1,1
4,Minnesota Vikings,14,218,385,56.6,2523,19,4.9,13,3.4,76,7.1,6.5,12.5,180.2,81.2,26,203,6.3,6.1,5.6,4,3
5,New York Giants,14,206,344,59.9,2461,20,5.8,15,4.4,94,7.4,6.6,12.3,175.8,83.9,10,76,2.8,7.0,6.2,2,3
6,New Orleans Saints,14,230,449,51.2,2434,18,4.0,21,4.7,66,6.2,4.9,12.1,173.9,64.5,43,347,8.7,4.9,3.8,1,1
7,Oakland Raiders,14,198,370,53.5,2369,23,6.2,15,4.1,70,7.0,6.4,13.1,169.2,79.8,24,230,6.1,6.0,5.5,3,3
8,Dallas Cowboys,14,196,367,53.4,2342,16,4.4,23,6.3,55,7.0,5.1,13.2,167.3,64.3,31,238,7.8,5.9,4.1,,
9,Cincinnati Bengals,14,219,384,57.0,2321,10,2.6,11,2.9,65,6.5,5.8,11.5,165.8,73.6,24,192,5.9,5.7,5.0,2,2
10,San Diego Chargers,14,192,377,50.9,2304,15,4.0,28,7.4,62,6.7,4.1,13.1,164.6,54.6,23,212,5.8,5.8,3.4,2,1
11,Baltimore Colts,14,203,381,53.3,2293,15,3.9,12,3.1,63,6.6,5.9,12.3,163.8,73.9,25,210,6.2,5.6,5.1,1,1
12,Washington Redskins,14,159,284,56.0,2193,21,7.4,15,5.3,89,8.0,7.1,14.3,156.6,84.8,11,88,3.7,7.4,6.6,2,3
13,Los Angeles Rams,14,184,371,49.6,2146,13,3.5,22,5.9,57,6.2,4.2,12.4,153.3,56.0,16,136,4.1,5.5,3.7,0,1
14,Detroit Lions,14,155,305,50.8,2134,19,6.2,18,5.9,82,7.5,6.1,14.7,152.4,71.8,26,149,7.9,6.4,5.1,2,2
15,New England Patriots,14,198,412,48.1,2127,10,2.4,28,6.8,62,6.3,3.7,13.0,151.9,48.0,44,452,9.6,4.7,2.3,2,2
16,Miami Dolphins,14,144,259,55.6,2076,17,6.6,12,4.6,51,8.6,7.9,15.5,148.3,86.9,21,159,7.5,7.4,6.7,2,2
17,Philadelphia Eagles,14,184,375,49.1,2070,10,2.7,20,5.3,77,6.7,4.9,13.7,147.9,57.7,53,457,12.4,4.8,3.2,1,0
18,Kansas City Chiefs,14,217,384,56.5,2038,20,5.2,20,5.2,44,6.1,4.8,10.8,145.6,70.2,34,297,8.1,4.9,3.7,2,2
19,St. Louis Cardinals,14,171,363,47.1,2038,11,3.0,23,6.3,98,6.2,4.0,13.2,145.6,51.0,30,221,7.6,5.2,3.1,1,1
20,Atlanta Falcons,14,157,296,53.0,1919,13,4.4,15,5.1,57,7.4,6.0,14.0,137.1,70.8,41,283,12.2,5.7,4.5,0,1
21,Cleveland Browns,14,158,337,46.9,1916,13,3.9,19,5.6,80,6.3,4.6,13.5,136.9,56.9,27,219,7.4,5.3,3.6,4,5
22,Pittsburgh Steelers,14,156,324,48.1,1711,12,3.7,12,3.7,78,6.0,5.1,12.6,122.2,64.3,32,247,9.0,4.8,4.0,2,3
23,Houston Oilers,14,181,375,48.3,1673,10,2.7,23,6.1,82,5.5,3.2,11.3,119.5,48.4,45,372,10.7,4.0,2.0,,
24,Buffalo Bills,14,164,316,51.9,1601,16,5.1,24,7.6,58,6.4,4.0,12.3,114.4,57.1,49,411,13.4,4.4,2.3,3,3
25,Green Bay Packers,14,101,237,42.6,1412,7,3.0,9,3.8,68,6.5,5.4,15.2,100.9,58.6,17,124,6.7,5.6,4.5,1,3
26,Chicago Bears,14,78,205,38.0,1108,9,4.4,13,6.3,85,6.3,4.3,16.4,79.1,48.1,32,175,13.5,4.7,3.0,1,1
