Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,EXP
1,Indianapolis Colts,16,410,661,62.0,4894,42,6.4,16,2.4,80,7.7,7.8,12.3,305.9,96.8,29,168,4.2,7.1,7.3,1,1,144.43
2,Pittsburgh Steelers,16,411,612,67.2,4825,33,5.4,10,1.6,94,8.2,8.5,12.2,301.6,103.2,33,172,5.1,7.5,7.8,2,3,180.29
3,New Orleans Saints,16,456,659,69.2,4764,33,5.0,17,2.6,69,7.5,7.4,10.9,297.8,97.0,30,188,4.4,6.9,6.8,2,2,147.22
4,Denver Broncos,16,399,607,65.7,4661,40,6.6,15,2.5,86,7.9,8.1,12.0,291.3,101.3,17,118,2.7,7.5,7.7,1,1,162.22
5,Atlanta Falcons,16,418,632,66.1,4553,28,4.4,15,2.4,79,7.5,7.3,11.4,284.6,93.4,31,205,4.7,6.9,6.7,3,3,93.29
6,Philadelphia Eagles,16,384,621,61.8,4356,27,4.3,21,3.4,72,7.4,6.7,11.9,272.3,84.8,32,225,4.9,6.7,6.1,2,3,75.18
7,New York Giants,16,383,607,63.1,4272,30,4.9,14,2.3,80,7.4,7.3,11.7,267.0,92.2,30,198,4.7,6.7,6.7,1,1,84.41
8,Green Bay Packers,16,349,536,65.1,4261,38,7.1,6,1.1,80,8.3,9.2,12.7,266.3,109.9,30,186,5.3,7.5,8.4,1,1,215.46
9,New England Patriots,16,392,609,64.4,4121,34,5.6,9,1.5,69,7.0,7.5,10.9,257.6,97.5,26,170,4.1,6.5,6.9,2,2,187.79
10,San Diego Chargers,16,380,574,66.2,4098,31,5.4,18,3.1,59,7.5,7.2,11.3,256.1,93.4,37,198,6.1,6.7,6.4,3,3,114.61
11,Washington Redskins,16,364,547,66.5,4047,18,3.3,18,3.3,81,8.2,7.3,12.3,252.9,88.8,58,414,9.6,6.7,5.9,1,3,34.27
12,Detroit Lions,16,365,604,60.4,4030,22,3.6,12,2.0,73,7.1,6.9,11.7,251.9,85.9,45,254,6.9,6.2,6.1,5,5,84.73
13,Baltimore Ravens,16,344,554,62.1,3819,27,4.9,12,2.2,80,7.2,7.2,11.6,238.7,91.0,19,167,3.3,6.7,6.7,2,2,159.57
14,Arizona Cardinals,16,320,568,56.3,3808,21,3.7,12,2.1,81,7.0,6.8,12.5,238.0,81.8,28,182,4.7,6.4,6.2,3,3,51.96
15,Chicago Bears,16,396,609,65.0,3792,30,4.9,19,3.1,74,6.6,6.2,10.2,237.0,87.3,41,243,6.3,5.8,5.4,1,1,0.11
16,Dallas Cowboys,16,328,476,68.9,3784,37,7.8,11,2.3,68,8.4,8.9,12.2,236.5,110.9,30,224,5.9,7.5,8.0,3,4,185.49
17,Miami Dolphins,16,394,595,66.2,3729,27,4.5,12,2.0,50,6.8,6.8,10.3,233.1,92.5,46,337,7.2,5.8,5.8,2,1,81.58
18,Buffalo Bills,16,363,579,62.7,3614,23,4.0,13,2.2,84,6.7,6.4,10.6,225.9,86.0,39,242,6.3,5.8,5.6,2,3,18.12
19,Carolina Panthers,16,327,545,60.0,3511,23,4.2,12,2.2,51,7.0,6.9,11.7,219.4,86.2,42,317,7.2,6.0,5.8,3,2,57.94
20,Cleveland Browns,16,274,502,54.6,3465,12,2.4,16,3.2,81,7.3,6.4,13.4,216.6,72.8,31,213,5.8,6.5,5.6,4,4,24.15
21,Cincinnati Bengals,16,323,503,64.2,3421,20,4.0,17,3.4,81,7.1,6.3,11.0,213.8,84.2,23,130,4.4,6.5,5.8,4,3,16.91
22,Tennessee Titans,16,299,513,58.3,3412,20,3.9,16,3.1,80,7.3,6.7,12.5,213.3,81.0,50,326,8.9,6.1,5.5,,,-32.48
23,St. Louis Rams,16,327,515,63.5,3400,20,3.9,16,3.1,63,7.2,6.6,11.3,212.5,84.9,47,295,8.4,6.0,5.5,1,2,1.40
24,Houston Texans,16,295,485,60.8,3352,22,4.5,13,2.7,76,7.1,6.8,11.7,209.5,86.4,26,108,5.1,6.6,6.3,1,1,53.97
25,Tampa Bay Buccaneers,16,301,531,56.7,3297,21,4.0,20,3.8,56,6.8,5.9,12.0,206.1,75.2,52,326,8.9,5.7,4.8,1,1,-19.50
26,Oakland Raiders,16,365,629,58.0,3275,22,3.5,16,2.5,77,5.5,5.0,9.5,204.7,74.4,28,181,4.3,5.0,4.6,1,1,-57.96
27,Seattle Seahawks,16,287,454,63.2,3250,20,4.4,7,1.5,80,7.7,7.9,12.2,203.1,95.1,42,242,8.5,6.6,6.7,1,4,89.42
28,Minnesota Vikings,16,322,517,62.3,3244,17,3.3,18,3.5,87,6.9,6.0,11.1,202.8,79.2,51,322,9.0,5.7,4.9,3,3,7.68
29,Kansas City Chiefs,16,320,493,64.9,3182,18,3.7,6,1.2,70,7.0,7.1,10.7,198.9,92.2,49,246,9.0,5.9,6.0,3,3,59.70
30,San Francisco 49ers,16,292,487,60.0,3063,20,4.1,10,2.1,80,7.0,6.9,11.7,191.4,86.3,52,344,9.6,5.7,5.6,3,2,43.51
31,Jacksonville Jaguars,16,325,557,58.3,3001,15,2.7,18,3.2,63,6.2,5.3,10.6,187.6,72.0,71,450,11.3,4.8,4.0,1,1,-104.40
32,New York Jets,16,287,498,57.6,2946,16,3.2,15,3.0,74,6.4,5.7,11.2,184.1,75.1,47,260,8.6,5.4,4.8,1,2,-16.70
