Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Cleveland Browns,14,415,2166,18,70,5.2,154.7,17
2,Dallas Cowboys,14,471,2122,24,68,4.5,151.6,23
3,Minnesota Vikings,14,551,2091,15,52,3.8,149.4,33
4,Chicago Bears,14,463,1927,12,58,4.2,137.6,26
5,Philadelphia Eagles,14,478,1859,19,39,3.9,132.8,32
6,San Francisco 49ers,14,422,1790,12,49,4.2,127.9,26
7,Los Angeles Rams,14,448,1742,12,50,3.9,124.4,25
8,Green Bay Packers,14,475,1673,18,36,3.5,119.5,23
9,St. Louis Cardinals,14,458,1601,10,50,3.5,114.4,26
10,Baltimore Colts,14,418,1556,7,41,3.7,111.1,19
11,Atlanta Falcons,14,405,1519,11,65,3.8,108.5,30
12,New York Giants,14,380,1457,7,57,3.8,104.1,29
13,Detroit Lions,14,394,1429,13,34,3.6,102.1,33
14,Washington Redskins,14,356,1377,9,63,3.9,98.4,27
15,Pittsburgh Steelers,14,375,1092,13,45,2.9,78.0,34
