Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Chicago Bears,17,558,3014,18,67,5.4,177.3,33,69.64
2,Baltimore Ravens,17,526,2720,14,79,5.2,160.0,21,48.10
3,Atlanta Falcons,17,559,2718,17,44,4.9,159.9,21,46.17
4,New York Giants,17,520,2519,21,68,4.8,148.2,19,72.99
5,Philadelphia Eagles,17,544,2509,32,42,4.6,147.6,23,103.16
6,Cleveland Browns,17,532,2490,19,41,4.7,146.5,15,42.95
7,San Francisco 49ers,17,504,2360,20,71,4.7,138.8,16,0.97
8,Dallas Cowboys,17,531,2298,24,57,4.3,135.2,14,22.34
9,Buffalo Bills,16,430,2232,15,44,5.2,139.5,24,33.20
10,Carolina Panthers,17,483,2210,16,60,4.6,130.0,29,26.76
11,Detroit Lions,17,480,2179,23,58,4.5,128.2,16,-6.74
12,Washington Commanders,17,538,2143,9,33,4.0,126.1,21,-10.65
13,Tennessee Titans,17,487,2131,16,56,4.4,125.4,23,-6.24
14,Jacksonville Jaguars,17,448,2116,16,62,4.7,124.5,19,14.37
15,Green Bay Packers,17,456,2113,12,46,4.6,124.3,25,22.33
16,Pittsburgh Steelers,17,500,2073,16,36,4.1,121.9,16,24.47
17,Las Vegas Raiders,17,428,2059,12,86,4.8,121.1,17,16.26
18,Seattle Seahawks,17,425,2042,12,74,4.8,120.1,19,10.28
19,New Orleans Saints,17,465,1982,12,60,4.3,116.6,23,-26.09
20,Kansas City Chiefs,17,417,1970,18,52,4.7,115.9,21,53.34
21,Denver Broncos,17,444,1935,11,52,4.4,113.8,26,-14.05
22,Arizona Cardinals,17,434,1873,15,45,4.3,110.2,25,16.79
23,Indianapolis Colts,17,439,1866,8,66,4.3,109.8,37,-39.04
24,New England Patriots,17,425,1812,12,49,4.3,106.6,23,-30.44
25,New York Jets,17,405,1686,13,62,4.2,99.2,21,-8.50
26,Miami Dolphins,17,390,1686,12,67,4.3,99.2,16,-5.37
27,Minnesota Vikings,17,404,1661,18,81,4.1,97.7,18,-15.37
28,Los Angeles Rams,17,411,1661,15,42,4.0,97.7,16,3.23
29,Cincinnati Bengals,16,399,1528,14,40,3.8,95.5,11,4.57
30,Los Angeles Chargers,17,404,1524,15,72,3.8,89.6,19,4.74
31,Houston Texans,17,398,1476,7,75,3.7,86.8,22,-45.95
32,Tampa Bay Buccaneers,17,386,1308,5,35,3.4,76.9,17,-60.79
