Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Cleveland Browns,14,444,2139,15,59,4.8,152.8,24
2,Green Bay Packers,14,474,1915,18,40,4.0,136.8,19
3,Detroit Lions,14,473,1907,14,57,4.0,136.2,32
4,Los Angeles Rams,14,490,1906,16,42,3.9,136.1,32
5,Dallas Cowboys,14,477,1900,13,56,4.0,135.7,26
6,New York Giants,14,436,1864,16,61,4.3,133.1,21
7,Chicago Bears,14,489,1852,12,70,3.8,132.3,25
8,St. Louis Cardinals,14,472,1839,15,70,3.9,131.4,23
9,Minnesota Vikings,14,454,1811,10,73,4.0,129.4,23
10,San Francisco 49ers,14,434,1764,16,64,4.1,126.0,20
11,Baltimore Colts,14,443,1645,21,30,3.7,117.5,13
12,Pittsburgh Steelers,14,431,1397,13,73,3.2,99.8,33
13,Atlanta Falcons,14,344,1303,6,31,3.8,93.1,20
14,Philadelphia Eagles,14,328,1250,12,41,3.8,89.3,22
15,Washington Redskins,14,345,1247,13,44,3.6,89.1,26
16,New Orleans Saints,14,334,1192,9,49,3.6,85.1,21
