Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Buffalo Bills,14,588,2974,26,88,5.1,212.4,24
2,Pittsburgh Steelers,14,581,2633,22,36,4.5,188.1,34
3,Oakland Raiders,14,643,2573,28,66,4.0,183.8,31
4,Miami Dolphins,14,594,2500,26,56,4.2,178.6,20
5,Dallas Cowboys,14,571,2432,17,32,4.3,173.7,25
6,St. Louis Cardinals,14,555,2402,19,57,4.3,171.6,33
7,Los Angeles Rams,14,585,2371,18,43,4.1,169.4,26
8,Baltimore Colts,14,536,2217,28,70,4.1,158.4,18
9,Detroit Lions,14,532,2147,10,46,4.0,153.4,28
10,Minnesota Vikings,14,556,2094,18,31,3.8,149.6,34
11,New York Jets,14,501,2079,15,42,4.1,148.5,24
12,Houston Oilers,14,526,2068,14,46,3.9,147.7,28
13,Denver Broncos,14,490,1993,9,34,4.1,142.4,28
14,Cleveland Browns,14,440,1850,14,50,4.2,132.1,35
15,Kansas City Chiefs,14,487,1847,14,65,3.8,131.9,38
16,New England Patriots,14,472,1845,14,66,3.9,131.8,43
17,Cincinnati Bengals,14,499,1819,20,29,3.6,129.9,31
18,San Diego Chargers,14,434,1801,14,48,4.1,128.6,32
19,Atlanta Falcons,14,465,1794,12,26,3.9,128.1,37
20,Washington Redskins,14,444,1752,9,43,3.9,125.1,28
21,Philadelphia Eagles,14,461,1702,3,51,3.7,121.6,29
22,Chicago Bears,14,441,1653,11,54,3.7,118.1,35
23,New Orleans Saints,14,463,1642,9,22,3.5,117.3,33
24,New York Giants,14,482,1627,17,46,3.4,116.2,44
25,San Francisco 49ers,14,422,1598,12,52,3.8,114.1,44
26,Green Bay Packers,14,431,1547,14,29,3.6,110.5,31
