Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Dallas Cowboys,14,532,2276,17,55,4.3,162.6,28
2,Chicago Bears,14,462,2078,14,39,4.5,148.4,27
3,Atlanta Falcons,14,455,2058,9,66,4.5,147.0,37
4,Minnesota Vikings,14,489,1850,15,80,3.8,132.1,17
5,Cleveland Browns,14,447,1788,17,54,4.0,127.7,26
6,Detroit Lions,14,474,1755,11,52,3.7,125.4,18
7,New Orleans Saints,14,399,1705,12,54,4.3,121.8,20
8,Green Bay Packers,14,432,1692,11,53,3.9,120.9,31
9,New York Giants,14,397,1593,8,35,4.0,113.8,22
10,Philadelphia Eagles,14,395,1563,10,50,4.0,111.6,18
11,Pittsburgh Steelers,14,400,1542,8,35,3.9,110.1,36
12,San Francisco 49ers,14,391,1536,13,75,3.9,109.7,25
13,Washington Redskins,14,377,1532,11,57,4.1,109.4,23
14,Baltimore Colts,14,417,1490,16,29,3.6,106.4,23
15,St. Louis Cardinals,14,382,1446,17,48,3.8,103.3,24
16,Los Angeles Rams,14,382,1413,8,46,3.7,100.9,23
