Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Baltimore Ravens,16,552,2674,18,82,4.8,167.1,37,-93.88
2,Denver Broncos,16,543,2629,20,65,4.8,164.3,24,-65.24
3,Green Bay Packers,16,507,2558,18,98,5.0,159.9,19,-48.60
4,Minnesota Vikings,16,493,2343,15,61,4.8,146.4,31,-15.34
5,San Francisco 49ers,16,499,2279,16,78,4.6,142.4,24,-49.69
6,San Diego Chargers,16,417,2146,16,73,5.1,134.1,20,-29.55
7,Carolina Panthers,16,522,2091,9,40,4.0,130.7,33,-114.89
8,Jacksonville Jaguars,16,481,2073,13,62,4.3,129.6,27,-39.92
9,Philadelphia Eagles,16,417,2015,23,64,4.8,125.9,21,-30.83
10,Seattle Seahawks,16,453,2009,17,55,4.4,125.6,23,-72.91
11,New Orleans Saints,16,448,2000,11,76,4.5,125.0,33,-64.26
12,Dallas Cowboys,16,515,1999,11,63,3.9,124.9,26,-128.02
13,Cincinnati Bengals,16,481,1987,12,54,4.1,124.2,16,-74.28
14,Atlanta Falcons,16,435,1949,17,69,4.5,121.8,22,-14.96
15,Kansas City Chiefs,16,446,1929,32,39,4.3,120.6,13,-11.51
16,Oakland Raiders,16,423,1822,15,53,4.3,113.9,25,-61.99
17,Miami Dolphins,16,487,1817,14,68,3.7,113.6,26,-90.45
18,Chicago Bears,16,443,1763,13,67,4.0,110.2,25,-43.78
19,Indianapolis Colts,16,453,1695,16,43,3.7,105.9,25,-104.02
20,Cleveland Browns,16,412,1670,8,78,4.1,104.4,32,-90.55
21,Buffalo Bills,16,427,1664,13,64,3.9,104.0,36,-93.74
22,Washington Redskins,16,421,1653,8,38,3.9,103.3,21,-64.31
23,Houston Texans,16,421,1651,14,51,3.9,103.2,18,-79.33
24,Tampa Bay Buccaneers,16,421,1648,5,61,3.9,103.0,23,-115.19
25,New York Jets,16,409,1635,8,56,4.0,102.2,18,-70.18
26,Tennessee Titans,16,486,1623,11,28,3.3,101.4,24,-151.35
27,New England Patriots,16,473,1607,9,42,3.4,100.4,25,-147.81
28,New York Giants,16,387,1559,6,27,4.0,97.4,35,-93.18
29,Arizona Cardinals,16,403,1531,5,36,3.8,95.7,29,-85.03
30,St. Louis Rams,16,411,1496,19,52,3.6,93.5,33,-117.18
31,Pittsburgh Steelers,16,446,1488,10,32,3.3,93.0,24,-97.50
32,Detroit Lions,16,376,1338,5,39,3.6,83.6,18,-85.30
