Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Los Angeles Rams,16,615,2799,17,61,4.6,174.9,29
2,Houston Oilers,16,573,2635,18,55,4.6,164.7,33
3,Detroit Lions,16,572,2599,21,52,4.5,162.4,40
4,Chicago Bears,16,579,2440,22,69,4.2,152.5,23
5,Atlanta Falcons,16,559,2405,15,37,4.3,150.3,32
6,Dallas Cowboys,16,595,2378,26,56,4.0,148.6,26
7,New England Patriots,16,588,2240,19,44,3.8,140.0,19
8,Buffalo Bills,16,603,2222,17,48,3.7,138.9,36
9,St. Louis Cardinals,16,519,2183,19,52,4.2,136.4,24
10,Oakland Raiders,16,541,2146,14,89,4.0,134.1,38
11,Baltimore Colts,16,527,2078,20,51,3.9,129.9,23
12,Cincinnati Bengals,16,513,2069,9,57,4.0,129.3,22
13,Washington Redskins,16,517,2016,12,55,3.9,126.0,35
14,Philadelphia Eagles,16,527,1995,19,72,3.8,124.7,29
15,Pittsburgh Steelers,16,512,1986,15,28,3.9,124.1,38
16,San Diego Chargers,16,509,1879,18,53,3.7,117.4,40
17,Miami Dolphins,16,492,1876,9,65,3.8,117.3,33
18,New York Jets,16,470,1873,17,31,4.0,117.1,27
19,Kansas City Chiefs,16,552,1873,15,38,3.4,117.1,42
20,Denver Broncos,16,480,1865,16,35,3.9,116.6,25
21,Tampa Bay Buccaneers,16,477,1839,9,40,3.9,114.9,28
22,Green Bay Packers,16,493,1806,13,38,3.7,112.9,36
23,Seattle Seahawks,16,456,1783,13,26,3.9,111.4,38
24,San Francisco 49ers,16,415,1743,10,47,4.2,108.9,39
25,New York Giants,16,483,1730,10,35,3.6,108.1,33
26,Cleveland Browns,16,436,1673,15,56,3.8,104.6,24
27,Minnesota Vikings,16,433,1642,14,55,3.8,102.6,15
28,New Orleans Saints,16,348,1362,9,26,3.9,85.1,28
