Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Atlanta Falcons,16,524,2672,20,60,5.1,167.0,26,30.35
2,Pittsburgh Steelers,16,618,2464,16,58,4.0,154.0,20,-97.94
3,New York Jets,16,527,2388,15,33,4.5,149.3,19,-43.13
4,Denver Broncos,16,534,2333,13,51,4.4,145.8,23,-96.48
5,Kansas City Chiefs,16,496,2289,31,46,4.6,143.1,20,-14.08
6,San Diego Chargers,16,525,2185,24,52,4.2,136.6,27,-87.65
7,New England Patriots,16,524,2134,15,44,4.1,133.4,24,-75.76
8,Seattle Seahawks,16,468,2095,17,44,4.5,130.9,19,-45.15
9,Baltimore Ravens,16,491,2063,11,75,4.2,128.9,26,-82.94
10,Green Bay Packers,16,441,1908,9,90,4.3,119.3,22,-94.30
11,New York Giants,16,424,1904,18,72,4.5,119.0,29,-86.24
12,Houston Texans,16,481,1882,16,44,3.9,117.6,22,-63.66
13,Buffalo Bills,16,483,1874,15,48,3.9,117.1,26,-110.47
14,Tennessee Titans,16,420,1871,12,52,4.5,116.9,33,-54.79
15,Indianapolis Colts,16,427,1852,10,55,4.3,115.8,19,-90.42
16,Jacksonville Jaguars,16,446,1850,9,46,4.1,115.6,23,-86.46
17,Cincinnati Bengals,16,437,1839,14,52,4.2,114.9,17,-63.64
18,Minnesota Vikings,16,387,1823,8,49,4.7,113.9,20,-58.59
19,Detroit Lions,16,407,1777,7,74,4.4,111.1,12,-38.08
20,Dallas Cowboys,16,449,1769,14,53,3.9,110.6,26,-94.95
21,Washington Redskins,16,471,1765,6,64,3.7,110.3,20,-98.72
22,Arizona Cardinals,16,475,1668,15,62,3.5,104.3,34,-93.30
23,Cleveland Browns,16,441,1657,6,46,3.8,103.6,32,-142.28
24,Philadelphia Eagles,16,376,1639,10,50,4.4,102.4,17,-57.90
25,St. Louis Rams,16,381,1624,11,48,4.3,101.5,27,-56.56
26,Chicago Bears,16,430,1624,10,54,3.8,101.5,35,-88.58
27,New Orleans Saints,16,406,1606,15,71,4.0,100.4,23,-119.66
28,Carolina Panthers,16,422,1582,10,71,3.7,98.9,23,-88.12
29,Tampa Bay Buccaneers,16,393,1489,9,78,3.8,93.1,32,-138.55
30,San Francisco 49ers,16,413,1449,10,60,3.5,90.6,33,-108.90
31,Miami Dolphins,16,384,1339,10,53,3.5,83.7,42,-65.20
32,Oakland Raiders,16,327,1295,10,60,4.0,80.9,23,-79.92
