Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Atlanta Falcons,16,537,2939,9,90,5.5,183.7,18,-23.87
2,San Diego Chargers,16,522,2578,32,85,4.9,161.1,19,-24.15
3,Jacksonville Jaguars,16,513,2541,23,76,5.0,158.8,16,-16.46
4,Washington Redskins,16,490,2216,13,38,4.5,138.5,20,-42.65
5,Tennessee Titans,16,469,2214,15,70,4.7,138.4,29,-61.05
6,San Francisco 49ers,16,438,2172,12,72,5.0,135.8,24,-88.24
7,New York Giants,16,455,2156,14,55,4.7,134.8,23,-38.68
8,Denver Broncos,16,488,2152,12,72,4.4,134.5,29,-49.57
9,Kansas City Chiefs,16,513,2143,17,47,4.2,133.9,25,-65.39
10,Pittsburgh Steelers,16,469,1992,16,76,4.2,124.5,27,-65.62
11,Philadelphia Eagles,16,416,1984,13,71,4.8,124.0,26,-32.86
12,New England Patriots,16,499,1969,20,50,3.9,123.1,27,-95.59
13,Dallas Cowboys,16,472,1936,21,77,4.1,121.0,21,-74.83
14,Seattle Seahawks,16,484,1923,8,37,4.0,120.2,21,-114.29
15,Chicago Bears,16,503,1918,14,30,3.8,119.9,26,-68.43
16,Minnesota Vikings,16,442,1820,12,95,4.1,113.8,31,-74.00
17,St. Louis Rams,16,424,1805,13,59,4.3,112.8,20,-55.02
18,Indianapolis Colts,16,439,1762,17,41,4.0,110.1,13,-83.82
19,New Orleans Saints,16,472,1761,19,57,3.7,110.1,23,-107.78
20,New York Jets,16,491,1738,15,32,3.5,108.6,21,-130.96
21,Houston Texans,16,431,1685,13,35,3.9,105.3,28,-36.94
22,Miami Dolphins,16,402,1673,7,55,4.2,104.6,19,-80.13
23,Green Bay Packers,16,431,1663,9,70,3.9,103.9,25,-101.20
24,Carolina Panthers,16,423,1659,7,43,3.9,103.7,21,-75.46
25,Baltimore Ravens,16,476,1637,11,52,3.4,102.3,21,-124.62
26,Cincinnati Bengals,16,435,1629,14,22,3.7,101.8,25,-83.75
27,Buffalo Bills,16,420,1552,9,57,3.7,97.0,28,-80.45
28,Tampa Bay Buccaneers,16,404,1523,6,38,3.8,95.2,27,-85.05
29,Oakland Raiders,16,394,1519,5,59,3.9,94.9,32,-127.43
30,Arizona Cardinals,16,419,1338,12,18,3.2,83.6,31,-102.27
31,Cleveland Browns,16,372,1335,7,33,3.6,83.4,23,-119.96
32,Detroit Lions,16,304,1129,9,52,3.7,70.6,26,-96.32
