Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,New York Jets,16,607,2756,21,71,4.5,172.3,24,-83.44
2,Tennessee Titans,16,499,2592,19,91,5.2,162.0,27,-30.31
3,Carolina Panthers,16,525,2498,18,77,4.8,156.1,23,-55.03
4,Miami Dolphins,16,509,2231,22,68,4.4,139.4,27,-26.62
5,Baltimore Ravens,16,468,2200,22,77,4.7,137.5,19,-44.20
6,New Orleans Saints,16,468,2106,21,55,4.5,131.6,25,-72.37
7,Dallas Cowboys,16,436,2103,14,66,4.8,131.4,20,-51.42
8,Cleveland Browns,16,498,2087,10,71,4.2,130.4,21,-47.91
9,Cincinnati Bengals,16,505,2056,9,61,4.1,128.5,24,-80.94
10,Jacksonville Jaguars,16,447,2029,19,80,4.5,126.8,26,-31.64
11,Kansas City Chiefs,16,438,1929,8,76,4.4,120.6,31,-74.14
12,New England Patriots,16,466,1921,19,55,4.1,120.1,17,-43.48
13,Minnesota Vikings,16,467,1918,19,64,4.1,119.9,19,-136.97
14,Green Bay Packers,16,438,1885,20,62,4.3,117.8,20,5.05
15,Atlanta Falcons,16,451,1876,15,58,4.2,117.3,19,-79.13
16,Buffalo Bills,16,424,1867,6,47,4.4,116.7,24,-90.07
17,New York Giants,16,443,1837,14,38,4.1,114.8,30,-84.31
18,Denver Broncos,16,440,1836,9,45,4.2,114.8,15,-70.46
19,Pittsburgh Steelers,16,428,1793,10,60,4.2,112.1,21,-99.78
20,St. Louis Rams,16,411,1784,4,58,4.3,111.5,24,-66.81
21,Oakland Raiders,16,410,1701,7,60,4.1,106.3,30,-102.38
22,Philadelphia Eagles,16,384,1637,14,67,4.3,102.3,23,-36.90
23,Tampa Bay Buccaneers,16,404,1627,5,35,4.0,101.7,25,-93.99
24,Detroit Lions,16,409,1616,9,64,4.0,101.0,25,-38.37
25,San Francisco 49ers,16,371,1600,12,80,4.3,100.0,24,-57.85
26,Seattle Seahawks,16,395,1566,7,62,4.0,97.9,33,-64.83
27,Washington Redskins,16,391,1510,8,78,3.9,94.4,30,-87.96
28,Arizona Cardinals,16,365,1494,16,50,4.1,93.4,32,-90.93
29,Chicago Bears,16,373,1492,6,72,4.0,93.3,26,-96.30
30,Houston Texans,16,425,1475,13,32,3.5,92.2,21,-110.06
31,San Diego Chargers,16,427,1423,17,36,3.3,88.9,14,-108.29
32,Indianapolis Colts,16,366,1294,16,45,3.5,80.9,11,-110.36
