Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Chicago Bears,14,500,2377,14,63,4.8,169.8,28
2,Dallas Cowboys,14,480,2091,22,28,4.4,149.4,21
3,Cleveland Browns,14,447,2031,20,65,4.5,145.1,23
4,St. Louis Cardinals,14,463,1996,22,66,4.3,142.6,24
5,Los Angeles Rams,14,503,1932,14,52,3.8,138.0,21
6,Minnesota Vikings,14,500,1921,19,43,3.8,137.2,22
7,New York Giants,14,474,1882,13,26,4.0,134.4,17
8,Baltimore Colts,14,463,1809,16,33,3.9,129.2,23
9,San Francisco 49ers,14,443,1784,11,69,4.0,127.4,26
10,Green Bay Packers,14,450,1749,12,42,3.9,124.9,31
11,Pittsburgh Steelers,14,399,1721,7,77,4.3,122.9,26
12,Detroit Lions,14,433,1702,6,46,3.9,121.6,26
13,New Orleans Saints,14,409,1527,7,48,3.7,109.1,19
14,Philadelphia Eagles,14,369,1411,3,54,3.8,100.8,19
15,Atlanta Falcons,14,366,1305,9,60,3.6,93.2,26
16,Washington Redskins,14,360,1164,6,20,3.2,83.1,29
