Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Pittsburgh Steelers,14,653,2971,33,47,4.5,212.2,40
2,New England Patriots,14,591,2948,24,69,5.0,210.6,28
3,Buffalo Bills,14,548,2566,11,75,4.7,183.3,45
4,Los Angeles Rams,14,613,2528,23,40,4.1,180.6,29
5,San Francisco 49ers,14,576,2447,14,80,4.2,174.8,30
6,Chicago Bears,14,578,2363,20,60,4.1,168.8,24
7,Baltimore Colts,14,565,2303,26,69,4.1,164.5,25
8,St. Louis Cardinals,14,580,2301,17,36,4.0,164.4,44
9,Cleveland Browns,14,533,2295,9,64,4.3,163.9,45
10,Oakland Raiders,14,557,2285,14,31,4.1,163.2,21
11,Detroit Lions,14,516,2213,9,46,4.3,158.1,38
12,Dallas Cowboys,14,538,2147,16,28,4.0,153.4,26
13,Miami Dolphins,14,491,2118,15,59,4.3,151.3,14
14,Washington Redskins,14,548,2111,10,28,3.9,150.8,36
15,Cincinnati Bengals,14,481,2109,15,77,4.4,150.6,38
16,Philadelphia Eagles,14,505,2080,8,59,4.1,148.6,33
17,San Diego Chargers,14,473,2040,13,46,4.3,145.7,28
18,Minnesota Vikings,14,540,2003,18,46,3.7,143.1,33
19,Denver Broncos,14,500,1932,14,31,3.9,138.0,23
20,New York Jets,14,438,1924,10,60,4.4,137.4,44
21,New York Giants,14,530,1904,11,29,3.6,136.0,27
22,Kansas City Chiefs,14,498,1873,18,59,3.8,133.8,32
23,New Orleans Saints,14,431,1775,16,74,4.1,126.8,32
24,Green Bay Packers,14,485,1722,15,56,3.6,123.0,37
25,Atlanta Falcons,14,470,1689,10,47,3.6,120.6,30
26,Tampa Bay Buccaneers,14,433,1503,5,46,3.5,107.4,30
27,Houston Oilers,14,416,1498,6,44,3.6,107.0,25
28,Seattle Seahawks,14,374,1416,14,53,3.8,101.1,30
