Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Dallas Cowboys,14,542,2454,22,53,4.5,175.3,31
2,Pittsburgh Steelers,14,546,2417,19,54,4.4,172.6,33
3,Oakland Raiders,14,561,2334,15,41,4.2,166.7,22
4,Miami Dolphins,14,570,2191,25,41,3.8,156.5,25
5,Denver Broncos,14,486,2157,20,43,4.4,154.1,23
6,New England Patriots,14,520,2134,21,75,4.1,152.4,26
7,Los Angeles Rams,14,566,2125,16,23,3.8,151.8,29
8,San Diego Chargers,14,508,2111,15,56,4.2,150.8,24
9,Buffalo Bills,14,545,2094,11,41,3.8,149.6,32
10,New Orleans Saints,14,503,1983,9,66,3.9,141.6,26
11,San Francisco 49ers,14,477,1981,10,71,4.2,141.5,31
12,Cincinnati Bengals,14,445,1978,14,29,4.4,141.3,27
13,St. Louis Cardinals,14,466,1956,12,75,4.2,139.7,27
14,Cleveland Browns,14,461,1924,14,54,4.2,137.4,34
15,Minnesota Vikings,14,488,1856,17,32,3.8,132.6,24
16,Baltimore Colts,14,450,1818,13,39,4.0,129.9,28
17,Kansas City Chiefs,14,469,1720,10,47,3.7,122.9,29
18,New York Jets,14,444,1625,12,34,3.7,116.1,26
19,Green Bay Packers,14,482,1571,10,47,3.3,112.2,25
20,New York Giants,14,441,1496,11,53,3.4,106.9,28
21,Atlanta Falcons,14,400,1493,6,34,3.7,106.6,32
22,Chicago Bears,14,434,1480,10,31,3.4,105.7,35
23,Washington Redskins,14,470,1443,11,66,3.1,103.1,16
24,Detroit Lions,14,397,1433,13,27,3.6,102.4,23
25,Philadelphia Eagles,14,415,1385,13,28,3.3,98.9,32
26,Houston Oilers,14,421,1361,16,47,3.2,97.2,26
