Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Buffalo Bills,16,509,2432,19,60,4.8,152.0,28,26.31
2,Carolina Panthers,16,526,2282,19,47,4.3,142.6,12,14.79
3,Seattle Seahawks,16,500,2268,10,69,4.5,141.8,17,-5.31
4,Minnesota Vikings,16,474,2211,18,80,4.7,138.2,21,18.58
5,Tampa Bay Buccaneers,16,455,2162,12,84,4.8,135.1,26,-7.56
6,Kansas City Chiefs,16,436,2044,19,52,4.7,127.8,15,29.78
7,St. Louis Rams,16,429,1956,16,71,4.6,122.3,22,-21.12
8,Arizona Cardinals,16,452,1917,16,63,4.2,119.8,23,-29.55
9,Dallas Cowboys,16,408,1890,8,50,4.6,118.1,18,-5.43
10,New York Jets,16,448,1868,11,58,4.2,116.8,17,-12.95
11,Chicago Bears,16,468,1854,13,27,4.0,115.9,20,-12.11
12,Green Bay Packers,16,436,1850,8,65,4.2,115.6,24,-17.89
13,Cincinnati Bengals,16,467,1805,18,38,3.9,112.8,17,-35.56
14,Philadelphia Eagles,16,442,1743,15,63,3.9,108.9,25,-32.88
15,Houston Texans,16,472,1731,7,41,3.7,108.2,22,-45.56
16,Pittsburgh Steelers,16,388,1724,16,55,4.4,107.8,16,-12.86
17,Denver Broncos,16,411,1718,13,72,4.2,107.4,16,-34.32
18,New York Giants,16,403,1609,5,39,4.0,100.6,23,-35.86
19,Atlanta Falcons,16,420,1606,13,46,3.8,100.4,26,-52.73
20,Washington Redskins,16,429,1566,9,48,3.7,97.9,26,-53.94
21,San Francisco 49ers,16,390,1544,7,47,4.0,96.5,21,-17.83
22,Cleveland Browns,16,380,1529,5,54,4.0,95.6,28,-36.96
23,Miami Dolphins,16,344,1496,11,85,4.3,93.5,23,-13.04
24,New Orleans Saints,16,397,1491,16,70,3.8,93.2,17,-3.84
25,Tennessee Titans,16,371,1485,10,87,4.0,92.8,25,-41.93
26,Baltimore Ravens,16,383,1478,8,44,3.9,92.4,13,-33.85
27,Jacksonville Jaguars,16,354,1473,5,45,4.2,92.1,25,-49.26
28,Oakland Raiders,16,370,1457,7,54,3.9,91.1,27,-27.22
29,Indianapolis Colts,16,396,1438,6,37,3.6,89.9,19,-57.18
30,New England Patriots,16,383,1404,14,38,3.7,87.8,14,-25.20
31,San Diego Chargers,16,393,1358,4,53,3.5,84.9,20,-58.43
32,Detroit Lions,16,354,1335,7,36,3.8,83.4,17,-27.33
