Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Dallas Cowboys,14,522,2300,16,47,4.4,164.3,29
2,Detroit Lions,14,514,2127,16,76,4.1,151.9,26
3,Miami Dolphins,14,492,2082,14,56,4.2,148.7,24
4,Cincinnati Bengals,14,461,2057,16,76,4.5,146.9,22
5,Washington Redskins,14,444,2021,11,75,4.6,144.4,26
6,St. Louis Cardinals,14,429,1998,18,75,4.7,142.7,24
7,Oakland Raiders,14,471,1964,7,39,4.2,140.3,21
8,Kansas City Chiefs,14,448,1858,11,65,4.1,132.7,26
9,Denver Broncos,14,436,1802,17,80,4.1,128.7,23
10,New York Giants,14,465,1799,11,68,3.9,128.5,29
11,Los Angeles Rams,14,430,1763,12,24,4.1,125.9,27
12,Pittsburgh Steelers,14,432,1715,13,85,4.0,122.5,30
13,New York Jets,14,463,1653,11,27,3.6,118.1,20
14,Minnesota Vikings,14,508,1634,16,23,3.2,116.7,25
15,Atlanta Falcons,14,431,1600,4,40,3.7,114.3,24
16,Green Bay Packers,14,453,1595,8,54,3.5,113.9,34
17,San Francisco 49ers,14,471,1580,13,45,3.4,112.9,24
18,Cleveland Browns,14,462,1579,14,63,3.4,112.8,24
19,Houston Oilers,14,419,1556,10,49,3.7,111.1,26
20,Philadelphia Eagles,14,450,1539,11,57,3.4,109.9,26
21,Buffalo Bills,14,367,1465,8,56,4.0,104.6,37
22,San Diego Chargers,14,395,1450,9,70,3.7,103.6,19
23,Baltimore Colts,14,411,1336,9,26,3.3,95.4,25
24,New Orleans Saints,14,371,1215,4,29,3.3,86.8,27
25,Chicago Bears,14,353,1092,3,45,3.1,78.0,29
26,Boston Patriots,14,334,1040,11,26,3.1,74.3,18
