Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Minnesota Vikings,16,494,2634,22,84,5.3,164.6,27,-5.46
2,Jacksonville Jaguars,16,522,2391,18,80,4.6,149.4,18,-53.47
3,Pittsburgh Steelers,16,511,2168,9,45,4.2,135.5,21,-40.83
4,New York Giants,16,469,2148,15,88,4.6,134.3,26,-62.52
5,Tennessee Titans,16,543,2109,17,42,3.9,131.8,32,-111.09
6,Oakland Raiders,16,508,2086,11,48,4.1,130.4,42,-87.37
7,San Diego Chargers,16,485,2039,19,74,4.2,127.4,17,-77.34
8,Philadelphia Eagles,16,421,1974,12,40,4.7,123.4,24,-29.36
9,Denver Broncos,16,429,1957,10,62,4.6,122.3,30,-68.61
10,Cleveland Browns,16,440,1895,13,66,4.3,118.4,22,-49.73
11,Tampa Bay Buccaneers,16,449,1872,15,31,4.2,117.0,18,-58.11
12,Washington Redskins,16,498,1871,15,32,3.8,116.9,35,-158.70
13,New England Patriots,16,451,1849,17,59,4.1,115.6,14,-66.44
14,Carolina Panthers,16,451,1824,7,75,4.0,114.0,25,-84.83
15,Buffalo Bills,16,448,1800,8,56,4.0,112.5,20,-69.26
16,Baltimore Ravens,16,446,1797,11,46,4.0,112.3,35,-97.29
17,Dallas Cowboys,16,419,1746,14,54,4.2,109.1,21,-41.38
18,Indianapolis Colts,16,446,1706,19,23,3.8,106.6,14,-67.18
19,New York Jets,16,446,1701,6,49,3.8,106.3,20,-63.21
20,Seattle Seahawks,16,430,1619,9,46,3.8,101.2,21,-114.02
21,Green Bay Packers,16,388,1597,13,66,4.1,99.8,25,-93.55
22,Houston Texans,16,417,1586,12,41,3.8,99.1,26,-35.73
23,Miami Dolphins,16,389,1569,14,60,4.0,98.1,25,-40.55
24,Cincinnati Bengals,16,416,1556,10,45,3.7,97.3,20,-67.12
25,St. Louis Rams,16,404,1527,5,54,3.8,95.4,25,-69.27
26,Atlanta Falcons,16,385,1520,7,67,3.9,95.0,18,-77.20
27,San Francisco 49ers,16,357,1477,8,43,4.1,92.3,36,-64.91
28,New Orleans Saints,16,392,1466,14,26,3.7,91.6,25,-82.53
29,Arizona Cardinals,16,402,1440,9,27,3.6,90.0,27,-100.69
30,Chicago Bears,16,423,1330,8,43,3.1,83.1,34,-75.71
31,Detroit Lions,16,324,1288,13,53,4.0,80.5,35,-66.00
32,Kansas City Chiefs,16,383,1248,6,54,3.3,78.0,22,-66.24
