Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Philadelphia Eagles,16,500,2566,19,65,5.1,160.4,19,27.32
2,Buffalo Bills,16,546,2307,15,77,4.2,144.2,32,-9.61
3,San Francisco 49ers,16,505,2201,18,51,4.4,137.6,20,6.19
4,Seattle Seahawks,16,509,2188,14,43,4.3,136.8,26,-35.48
5,Washington Redskins,16,453,2164,14,45,4.8,135.3,30,-3.91
6,New York Jets,16,493,2158,12,69,4.4,134.9,15,-19.66
7,Green Bay Packers,16,459,2136,17,67,4.7,133.5,19,26.99
8,Minnesota Vikings,16,423,2081,23,78,4.9,130.1,23,34.90
9,New England Patriots,16,470,2065,19,47,4.4,129.1,24,-10.74
10,Kansas City Chiefs,16,442,2056,17,46,4.7,128.5,21,-10.39
11,Carolina Panthers,16,483,2026,14,56,4.2,126.6,12,28.31
12,Oakland Raiders,16,437,2000,16,93,4.6,125.0,27,-8.62
13,San Diego Chargers,16,486,1965,9,51,4.0,122.8,14,3.15
14,Tennessee Titans,16,462,1894,16,39,4.1,118.4,27,-3.37
15,Denver Broncos,16,461,1873,16,45,4.1,117.1,27,-11.91
16,Chicago Bears,16,404,1828,13,55,4.5,114.3,21,2.28
17,Detroit Lions,16,445,1792,15,39,4.0,112.0,28,-38.56
18,Cincinnati Bengals,16,481,1755,14,35,3.6,109.7,20,-33.68
19,St. Louis Rams,16,426,1752,10,65,4.1,109.5,20,-34.95
20,Indianapolis Colts,16,409,1743,15,51,4.3,108.9,14,10.05
21,Houston Texans,16,414,1743,7,60,4.2,108.9,21,-8.90
22,Tampa Bay Buccaneers,16,420,1612,6,80,3.8,100.8,18,-35.85
23,Arizona Cardinals,16,422,1540,12,80,3.6,96.3,22,-37.87
24,Dallas Cowboys,16,336,1504,12,45,4.5,94.0,18,23.69
25,New Orleans Saints,16,391,1473,10,38,3.8,92.1,12,-13.91
26,Miami Dolphins,16,349,1440,8,55,4.1,90.0,16,-32.00
27,Pittsburgh Steelers,16,394,1383,9,43,3.5,86.4,16,-47.23
28,Cleveland Browns,16,348,1383,4,45,4.0,86.4,17,-2.58
29,New York Giants,16,381,1332,11,49,3.5,83.3,26,-75.93
30,Baltimore Ravens,16,423,1328,7,47,3.1,83.0,15,-76.41
31,Jacksonville Jaguars,16,378,1260,7,48,3.3,78.8,18,-49.18
32,Atlanta Falcons,16,321,1247,11,50,3.9,77.9,17,-21.90
