Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Buffalo Bills,14,605,3088,20,80,5.1,220.6,27
2,Los Angeles Rams,14,659,2925,18,49,4.4,208.9,21
3,Miami Dolphins,14,507,2521,16,70,5.0,180.1,22
4,Oakland Raiders,14,547,2510,14,50,4.6,179.3,29
5,Dallas Cowboys,14,542,2418,17,54,4.5,172.7,25
6,Minnesota Vikings,14,538,2275,14,50,4.2,162.5,29
7,Cincinnati Bengals,14,515,2236,13,46,4.3,159.7,25
8,Pittsburgh Steelers,14,555,2143,12,47,3.9,153.1,36
9,Detroit Lions,14,496,2133,17,57,4.3,152.4,30
10,Atlanta Falcons,14,518,2037,18,25,3.9,145.5,40
11,Baltimore Colts,14,536,2031,9,36,3.8,145.1,18
12,Green Bay Packers,14,527,1973,10,53,3.7,140.9,23
13,Cleveland Browns,14,506,1968,12,65,3.9,140.6,34
14,Denver Broncos,14,487,1954,16,72,4.0,139.6,21
15,Chicago Bears,14,496,1907,11,42,3.8,136.2,40
16,New York Jets,14,453,1864,7,52,4.1,133.1,32
17,New Orleans Saints,14,497,1842,5,23,3.7,131.6,34
18,San Diego Chargers,14,431,1814,9,68,4.2,129.6,41
19,Kansas City Chiefs,14,511,1793,11,28,3.5,128.1,36
20,Philadelphia Eagles,14,417,1791,9,37,4.3,127.9,41
21,San Francisco 49ers,14,422,1743,15,63,4.1,124.5,32
22,St. Louis Cardinals,14,416,1671,13,54,4.0,119.4,37
23,New England Patriots,14,454,1612,15,34,3.6,115.1,51
24,New York Giants,14,456,1478,11,29,3.2,105.6,23
25,Washington Redskins,14,459,1439,9,27,3.1,102.8,32
26,Houston Oilers,14,386,1388,9,52,3.6,99.1,43
