Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,New England Patriots,16,671,3165,30,73,4.7,197.8,35
2,Kansas City Chiefs,16,663,2986,19,62,4.5,186.6,32
3,Dallas Cowboys,16,625,2783,22,63,4.5,173.9,36
4,Chicago Bears,16,634,2526,19,76,4.0,157.9,22
5,Cleveland Browns,16,559,2488,17,71,4.5,155.5,50
6,Houston Oilers,16,603,2476,19,81,4.1,154.8,35
7,Philadelphia Eagles,16,587,2456,16,50,4.2,153.5,39
8,Denver Broncos,16,601,2451,15,47,4.1,153.2,28
9,Seattle Seahawks,16,561,2394,28,67,4.3,149.6,36
10,Buffalo Bills,16,556,2381,15,66,4.3,148.8,34
11,Miami Dolphins,16,548,2366,18,65,4.3,147.9,24
12,Los Angeles Rams,16,609,2308,12,26,3.8,144.3,39
13,New York Giants,16,580,2304,12,46,4.0,144.0,23
14,Pittsburgh Steelers,16,641,2297,16,37,3.6,143.6,35
15,New York Jets,16,562,2250,21,33,4.0,140.6,22
16,Oakland Raiders,16,577,2186,18,34,3.8,136.6,27
17,Detroit Lions,16,525,2163,12,75,4.1,135.2,35
18,Cincinnati Bengals,16,526,2131,10,65,4.1,133.2,36
19,Tampa Bay Buccaneers,16,549,2098,16,56,3.8,131.1,35
20,San Diego Chargers,16,590,2096,16,37,3.6,131.0,37
21,San Francisco 49ers,16,585,2091,14,40,3.6,130.7,56
22,Washington Redskins,16,537,2082,10,47,3.9,130.1,31
23,Baltimore Colts,16,532,2044,9,46,3.8,127.8,38
24,Green Bay Packers,16,550,2023,16,76,3.7,126.4,35
25,St. Louis Cardinals,16,554,1954,14,32,3.5,122.1,28
26,New Orleans Saints,16,512,1845,17,28,3.6,115.3,32
27,Atlanta Falcons,16,533,1660,13,26,3.1,103.8,41
28,Minnesota Vikings,16,505,1536,10,22,3.0,96.0,34
