Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Miami Dolphins,14,613,2960,26,45,4.8,211.4,25
2,Pittsburgh Steelers,14,497,2520,22,75,5.1,180.0,27
3,Oakland Raiders,14,521,2376,20,45,4.6,169.7,31
4,Chicago Bears,14,536,2360,15,57,4.4,168.6,40
5,Los Angeles Rams,14,472,2209,17,68,4.7,157.8,24
6,Buffalo Bills,14,512,2132,11,94,4.2,152.3,29
7,Green Bay Packers,14,544,2127,17,41,3.9,151.9,22
8,Dallas Cowboys,14,499,2124,17,41,4.3,151.7,27
9,Atlanta Falcons,14,500,2092,16,56,4.2,149.4,42
10,Washington Redskins,14,513,2082,17,38,4.1,148.7,27
11,New York Giants,14,524,2022,16,45,3.9,144.4,32
12,Detroit Lions,14,473,2021,20,38,4.3,144.4,17
13,New York Jets,14,461,2010,18,40,4.4,143.6,21
14,Cincinnati Bengals,14,491,1996,16,43,4.1,142.6,28
15,San Diego Chargers,14,504,1995,12,41,4.0,142.5,40
16,Kansas City Chiefs,14,476,1915,6,51,4.0,136.8,23
17,Baltimore Colts,14,462,1894,10,36,4.1,135.3,37
18,Denver Broncos,14,409,1838,17,66,4.5,131.3,25
19,Cleveland Browns,14,453,1793,13,27,4.0,128.1,21
20,Minnesota Vikings,14,472,1740,11,43,3.7,124.3,32
21,San Francisco 49ers,14,445,1616,11,33,3.6,115.4,30
22,New England Patriots,14,386,1532,13,41,4.0,109.4,26
23,Houston Oilers,14,397,1518,7,43,3.8,108.4,30
24,Philadelphia Eagles,14,398,1393,2,34,3.5,99.5,37
25,New Orleans Saints,14,337,1230,5,27,3.6,87.9,33
26,St. Louis Cardinals,14,361,1229,9,19,3.4,87.8,43
