Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Oakland Raiders,16,520,2470,23,80,4.8,154.4,18,-55.95
2,Cincinnati Bengals,16,495,2314,13,80,4.7,144.6,37,-41.48
3,Denver Broncos,16,516,2311,21,80,4.5,144.4,26,-71.77
4,Pittsburgh Steelers,16,527,2248,19,45,4.3,140.5,24,-81.79
5,Baltimore Ravens,16,511,2199,9,45,4.3,137.4,26,-109.14
6,Minnesota Vikings,16,428,2129,14,72,5.0,133.1,26,-54.75
7,Tennessee Titans,16,547,2084,14,35,3.8,130.3,24,-176.19
8,New Orleans Saints,16,505,2068,14,40,4.1,129.3,26,-87.65
9,Tampa Bay Buccaneers,16,490,2066,18,70,4.2,129.1,16,-95.35
10,Jacksonville Jaguars,16,481,2032,18,71,4.2,127.0,27,-77.01
11,New York Giants,16,507,2009,16,78,4.0,125.6,25,-112.04
12,Dallas Cowboys,16,463,1953,15,52,4.2,122.1,31,-58.61
13,Buffalo Bills,16,475,1922,11,59,4.0,120.1,28,-95.61
14,Miami Dolphins,16,496,1894,16,68,3.8,118.4,12,-93.34
15,Philadelphia Eagles,16,397,1882,13,85,4.7,117.6,22,-51.55
16,Indianapolis Colts,16,435,1859,14,30,4.3,116.2,20,-36.18
17,St. Louis Rams,16,383,1843,26,49,4.8,115.2,24,-55.27
18,San Francisco 49ers,16,416,1801,15,42,4.3,112.6,22,-36.40
19,Washington Redskins,16,445,1748,14,50,3.9,109.3,22,-122.69
20,Detroit Lions,16,448,1747,15,38,3.9,109.2,21,-129.85
21,Chicago Bears,16,417,1736,6,52,4.2,108.5,27,-73.68
22,Seattle Seahawks,16,403,1720,10,55,4.3,107.5,35,-42.21
23,Green Bay Packers,16,404,1643,13,39,4.1,102.7,30,-82.13
24,New York Jets,16,418,1471,11,55,3.5,91.9,18,-134.14
25,Kansas City Chiefs,16,383,1465,12,69,3.8,91.6,23,-107.40
26,New England Patriots,16,424,1390,9,35,3.3,86.9,23,-144.59
27,Arizona Cardinals,16,343,1278,6,29,3.7,79.9,32,-74.36
28,Atlanta Falcons,16,350,1214,6,42,3.5,75.9,27,-83.77
29,Carolina Panthers,16,363,1186,7,43,3.3,74.1,25,-101.41
30,Cleveland Browns,16,336,1085,7,42,3.2,67.8,21,-71.58
31,San Diego Chargers,16,351,1062,7,26,3.0,66.4,38,-134.45
