Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Pittsburgh Steelers,16,580,2774,17,48,4.8,173.4,28,-70.25
2,San Francisco 49ers,16,509,2244,16,43,4.4,140.3,19,-65.80
3,Dallas Cowboys,16,505,2184,8,80,4.3,136.5,25,-114.11
4,New York Jets,16,445,2054,11,47,4.6,128.4,22,-80.17
5,St. Louis Rams,16,416,2027,20,71,4.9,126.7,38,-45.40
6,Kansas City Chiefs,16,448,2008,16,41,4.5,125.5,19,-44.11
7,Indianapolis Colts,16,438,1966,16,77,4.5,122.9,20,-43.54
8,Washington Redskins,16,490,1948,10,32,4.0,121.8,33,-120.75
9,Seattle Seahawks,16,469,1936,15,88,4.1,121.0,24,-44.49
10,Denver Broncos,16,481,1877,7,62,3.9,117.3,24,-100.80
11,Baltimore Ravens,16,483,1810,11,55,3.7,113.1,31,-120.15
12,Tennessee Titans,16,468,1794,12,51,3.8,112.1,18,-110.36
13,New England Patriots,16,473,1793,15,44,3.8,112.1,29,-132.82
14,Philadelphia Eagles,16,412,1778,6,48,4.3,111.1,20,-93.87
15,New York Giants,16,424,1777,11,61,4.2,111.1,40,-71.58
16,Atlanta Falcons,16,439,1762,9,58,4.0,110.1,27,-101.74
17,Chicago Bears,16,475,1742,12,46,3.7,108.9,21,-57.49
18,New Orleans Saints,16,419,1712,8,54,4.1,107.0,35,-99.85
19,Cincinnati Bengals,16,441,1712,11,96,3.9,107.0,28,-100.66
20,San Diego Chargers,16,435,1695,13,67,3.9,105.9,26,-81.17
21,Green Bay Packers,16,410,1693,11,83,4.1,105.8,28,-86.64
22,Buffalo Bills,16,406,1686,9,68,4.2,105.4,26,-73.07
23,Miami Dolphins,16,473,1664,14,56,3.5,104.0,26,-73.92
24,Oakland Raiders,16,450,1654,14,38,3.7,103.4,27,-79.65
25,Minnesota Vikings,16,376,1609,10,34,4.3,100.6,35,-35.64
26,Jacksonville Jaguars,16,372,1600,11,54,4.3,100.0,29,-45.43
27,Arizona Cardinals,16,400,1449,10,42,3.6,90.6,26,-88.74
28,Detroit Lions,16,351,1398,8,56,4.0,87.4,24,-55.36
29,Carolina Panthers,16,354,1372,9,58,3.9,85.8,33,-106.64
30,Tampa Bay Buccaneers,16,407,1371,17,39,3.4,85.7,20,-57.40
31,Cleveland Browns,16,417,1351,8,51,3.2,84.4,24,-124.61
