Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Chicago Bears,14,599,2811,18,73,4.7,200.8,36
2,Oakland Raiders,14,681,2627,20,37,3.9,187.6,22
3,Los Angeles Rams,14,621,2575,19,48,4.1,183.9,32
4,Dallas Cowboys,14,564,2369,21,84,4.2,169.2,26
5,Miami Dolphins,14,519,2366,18,77,4.6,169.0,22
6,New England Patriots,14,603,2303,13,41,3.8,164.5,28
7,Pittsburgh Steelers,14,581,2258,20,61,3.9,161.3,41
8,Cleveland Browns,14,510,2200,9,78,4.3,157.1,34
9,Baltimore Colts,14,566,2123,17,64,3.8,151.6,24
10,San Francisco 49ers,14,564,2086,16,80,3.7,149.0,27
11,Denver Broncos,14,523,2043,16,62,3.9,145.9,28
12,St. Louis Cardinals,14,507,2042,19,62,4.0,145.9,31
13,New Orleans Saints,14,484,2024,14,36,4.2,144.6,20
14,Houston Oilers,14,509,1989,15,77,3.9,142.1,30
15,Seattle Seahawks,14,461,1964,12,39,4.3,140.3,27
16,New York Giants,14,548,1897,11,32,3.5,135.5,27
17,Atlanta Falcons,14,582,1890,9,35,3.2,135.0,28
18,Buffalo Bills,14,450,1861,3,66,4.1,132.9,36
19,Cincinnati Bengals,14,488,1861,10,65,3.8,132.9,37
20,Kansas City Chiefs,14,456,1843,13,59,4.0,131.6,33
21,Minnesota Vikings,14,510,1821,9,51,3.6,130.1,36
22,San Diego Chargers,14,488,1761,10,46,3.6,125.8,29
23,Washington Redskins,14,502,1752,4,34,3.5,125.1,26
24,Philadelphia Eagles,14,484,1722,10,70,3.6,123.0,31
25,Detroit Lions,14,479,1706,11,35,3.6,121.9,26
26,New York Jets,14,437,1618,6,27,3.7,115.6,24
27,Green Bay Packers,14,469,1464,5,40,3.1,104.6,24
28,Tampa Bay Buccaneers,14,465,1424,4,35,3.1,101.7,30
