Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Atlanta Falcons,16,531,2546,17,65,4.8,159.1,26,-5.71
2,Denver Broncos,16,542,2539,25,68,4.7,158.7,19,-46.68
3,Seattle Seahawks,16,519,2457,29,88,4.7,153.6,18,-22.46
4,Kansas City Chiefs,16,520,2382,26,49,4.6,148.9,23,-29.17
5,Pittsburgh Steelers,16,549,2223,21,80,4.0,138.9,22,-125.49
6,New York Giants,16,469,2209,17,95,4.7,138.1,17,-65.09
7,Washington Redskins,16,525,2183,15,52,4.2,136.4,29,-97.92
8,Chicago Bears,16,488,2099,11,42,4.3,131.2,32,-116.07
9,San Diego Chargers,16,465,2072,22,83,4.5,129.5,22,-24.52
10,Jacksonville Jaguars,16,502,1959,18,71,3.9,122.4,27,-118.81
11,Cincinnati Bengals,16,459,1910,15,33,4.2,119.4,18,-65.13
12,Miami Dolphins,16,444,1898,11,65,4.3,118.6,31,-92.98
13,Dallas Cowboys,16,521,1861,13,51,3.6,116.3,36,-131.32
14,Tampa Bay Buccaneers,16,457,1826,13,71,4.0,114.1,16,-93.10
15,Houston Texans,16,437,1816,9,44,4.2,113.5,30,-86.30
16,Indianapolis Colts,16,465,1703,18,33,3.7,106.4,14,-68.02
17,San Francisco 49ers,16,428,1689,9,73,3.9,105.6,31,-96.50
18,New Orleans Saints,16,423,1688,8,42,4.0,105.5,23,-98.04
19,Carolina Panthers,16,487,1679,17,70,3.4,104.9,23,-128.78
20,Buffalo Bills,16,428,1607,6,39,3.8,100.4,26,-117.92
21,Baltimore Ravens,16,452,1605,5,52,3.6,100.3,28,-122.58
22,St. Louis Rams,16,380,1535,13,51,4.0,95.9,24,-88.90
23,Tennessee Titans,16,397,1525,8,38,3.8,95.3,27,-105.68
24,New England Patriots,16,439,1512,16,31,3.4,94.5,19,-102.44
25,Cleveland Browns,16,395,1503,4,75,3.8,93.9,27,-107.31
26,Detroit Lions,16,404,1471,10,77,3.6,91.9,21,-69.57
27,Minnesota Vikings,16,381,1467,10,61,3.9,91.7,25,-102.26
28,Philadelphia Eagles,16,365,1432,11,59,3.9,89.5,34,-62.07
29,Oakland Raiders,16,361,1369,11,27,3.8,85.6,26,-66.09
30,Green Bay Packers,16,398,1352,11,64,3.4,84.5,31,-62.48
31,New York Jets,16,384,1328,10,49,3.5,83.0,36,-82.74
32,Arizona Cardinals,16,360,1138,2,32,3.2,71.1,26,-126.73
