Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,New York Jets,16,634,2646,23,52,4.2,165.4,26
2,Pittsburgh Steelers,16,561,2603,25,75,4.6,162.7,47
3,St. Louis Cardinals,16,566,2582,24,76,4.6,161.4,42
4,Houston Oilers,16,616,2571,24,61,4.2,160.7,31
5,Chicago Bears,16,627,2486,17,43,4.0,155.4,21
6,New Orleans Saints,16,551,2476,28,69,4.5,154.8,24
7,Los Angeles Rams,16,592,2460,16,63,4.2,153.8,38
8,Tampa Bay Buccaneers,16,609,2437,13,61,4.0,152.3,25
9,Philadelphia Eagles,16,567,2421,17,80,4.3,151.3,38
10,Dallas Cowboys,16,578,2375,15,41,4.1,148.4,34
11,Cincinnati Bengals,16,560,2329,23,63,4.2,145.6,24
12,Washington Redskins,16,609,2328,17,66,3.8,145.5,21
13,Kansas City Chiefs,16,569,2316,18,84,4.1,144.8,31
14,Cleveland Browns,16,504,2281,16,77,4.5,142.6,29
15,New England Patriots,16,604,2252,16,52,3.7,140.8,29
16,Atlanta Falcons,16,500,2200,15,60,4.4,137.5,31
17,Miami Dolphins,16,561,2187,19,42,3.9,136.7,27
18,Denver Broncos,16,525,2036,13,30,3.9,127.3,34
19,Seattle Seahawks,16,500,1967,24,67,3.9,122.9,31
20,San Francisco 49ers,16,480,1932,17,56,4.0,120.8,37
21,Green Bay Packers,16,483,1861,14,60,3.9,116.3,37
22,New York Giants,16,498,1820,12,32,3.7,113.8,34
23,Minnesota Vikings,16,487,1764,9,34,3.6,110.3,40
24,Oakland Raiders,16,491,1763,13,72,3.6,110.2,34
25,Detroit Lions,16,441,1677,11,38,3.8,104.8,37
26,Baltimore Colts,16,515,1674,12,26,3.3,104.6,36
27,San Diego Chargers,16,481,1668,25,55,3.5,104.3,31
28,Buffalo Bills,16,474,1621,11,75,3.4,101.3,32
