Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,New York Giants,16,502,2518,19,77,5.0,157.4,18,-58.58
2,Atlanta Falcons,16,560,2443,23,70,4.4,152.7,18,-78.18
3,Carolina Panthers,16,504,2437,30,69,4.8,152.3,12,-24.70
4,Baltimore Ravens,16,592,2376,20,82,4.0,148.5,28,-118.02
5,Minnesota Vikings,16,519,2332,15,67,4.5,145.8,31,-79.91
6,New England Patriots,16,513,2278,21,49,4.4,142.4,17,-26.15
7,Tennessee Titans,16,508,2199,24,80,4.3,137.4,18,-83.81
8,Washington Redskins,16,478,2095,12,31,4.4,130.9,20,-78.38
9,New York Jets,16,422,2004,20,61,4.7,125.3,22,-47.35
10,Oakland Raiders,16,459,1987,9,67,4.3,124.2,28,-108.67
11,Miami Dolphins,16,448,1897,18,62,4.2,118.6,18,-116.35
12,Denver Broncos,16,387,1862,15,71,4.8,116.4,18,-22.74
13,Houston Texans,16,432,1846,16,71,4.3,115.4,28,-40.25
14,Buffalo Bills,16,439,1842,16,50,4.2,115.1,33,-81.58
15,Tampa Bay Buccaneers,16,451,1837,13,68,4.1,114.8,21,-118.67
16,Kansas City Chiefs,16,379,1810,9,65,4.8,113.1,20,-44.65
17,Green Bay Packers,16,437,1805,11,73,4.1,112.8,25,-42.97
18,Jacksonville Jaguars,16,426,1774,17,46,4.2,110.9,23,-46.00
19,Seattle Seahawks,16,417,1768,10,45,4.2,110.5,20,-44.46
20,San Diego Chargers,16,421,1726,13,45,4.1,107.9,18,-27.95
21,Dallas Cowboys,16,401,1723,12,60,4.3,107.7,29,-46.26
22,Philadelphia Eagles,16,427,1697,15,39,4.0,106.1,16,-96.79
23,Pittsburgh Steelers,16,460,1690,16,34,3.7,105.6,28,-126.83
24,Chicago Bears,16,434,1673,15,50,3.9,104.6,19,-51.58
25,St. Louis Rams,16,417,1649,8,56,4.0,103.1,18,-59.98
26,Cleveland Browns,16,409,1605,6,72,3.9,100.3,17,-47.74
27,San Francisco 49ers,16,397,1599,10,41,4.0,99.9,36,-56.80
28,New Orleans Saints,16,398,1594,20,43,4.0,99.6,18,-38.91
29,Cincinnati Bengals,16,420,1520,6,46,3.6,95.0,27,-100.88
30,Detroit Lions,16,352,1332,10,50,3.8,83.3,31,-39.84
31,Indianapolis Colts,16,370,1274,13,38,3.4,79.6,13,-83.25
32,Arizona Cardinals,16,340,1178,14,35,3.5,73.6,27,-117.91
